indicator_id,indicator_name,display_name,building_block_id,weight_in_block,covers_problems,input_derived_fields,has_internal_gate,gate_condition,gate_action,justification,threshold_summary,evidence_required
L3I_PROC_001,ba_reprojection_score,Bundle Adjustment Reprojection Error,BB_PROC_BA,0.2,#1,ba_reprojection_relative,FALSE,,,SHEET,≤1.5 pix → 100; 1.5-2.5 → 70 + PROC_BA_REPROJ_ELEVATED; 2.5-3.5 → 30 + PROC_BA_REPROJ_HIGH; >3.5 → 0 + PROC_BA_CONVERGENCE_FAIL.,report_required
L3I_PROC_002,camera_alignment_score,Camera Alignment Success Rate,BB_PROC_BA,0.2,#2,camera_alignment_fraction,FALSE,,,SHEET,aligned/total ≥0.98 → 100; 0.95-0.98 → 70 + PROC_CAMERAS_PARTIAL_ALIGN; 0.90-0.95 → 30 + PROC_CAMERAS_POOR_ALIGN; <0.90 → 0 + PROC_CAMERAS_SEVERE_ALIGN_FAIL.,report_required
L3I_PROC_003,camera_position_ensemble_score,Camera Position Ensemble Error (v1),BB_PROC_BA,0.15,#8,camera_position_relative_to_gsd,FALSE,,,SHEET (v1 ensemble; per-camera outliers deferred to v2),total_err / GSD ≤ 2× → 100; 2-4× → 70 + PROC_CAMERA_POS_ELEVATED; 4-8× → 30; >8× → 0 + PROC_CAMERA_POS_SEVERE. Per-camera outlier detection requires v2 visual analysis of Camera Locations ellipse map.,report_required
L3I_PROC_004,optimization_completeness_score,BA Optimization Parameter Completeness,BB_PROC_BA,0.1,#6,optimization_params_completeness,FALSE,,,SHEET,"all 10 params {f,b1,b2,cx,cy,k1-k3,p1,p2} present → 100; b1/b2 missing → 90 + PROC_OPTIMIZATION_INCOMPLETE (softened per v1.0 pressure-test: missing b1/b2 is minor optimization preference, not major quality differentiator); more missing → 70; severely incomplete → 30.",report_required
L3I_PROC_005,precalibration_loaded_score,Precalibration Loading Consistency,BB_PROC_BA,0.1,#4,precalibration_loaded_match,FALSE,,,SHEET,"manifest expectation matches report → 100; mismatch (expected loaded, report shows ""No"") → 30 + PROC_PRECALIB_NOT_LOADED.",report_and_manifest_required
L3I_PROC_006,camera_model_consistency_score,Camera Model Cross-Source Match,BB_PROC_BA,0.1,#5,camera_model_match,FALSE,,,SHEET,manifest camera model matches report → 100; mismatch → 30 + PROC_CAMERA_MODEL_MISMATCH.,report_and_manifest_required
L3I_PROC_007,self_calibration_quality_score,Self-Calibration Quality (Compound),BB_PROC_BA,0.1,#3,self_calibration_compound_condition,FALSE,,,SHEET (v0.2 reviewer fix: compound condition to avoid universal flagging),precalibrated=Yes → 100; precalibrated=No AND |K| <0.90 → 100; |K| 0.90-0.95 → 70; >0.95 AND degraded reprojection/CP residuals → 30 + PROC_SELF_CALIB_ILL_CONDITIONED (advisory).,report_required
L3I_PROC_008,max_reproj_outlier_score,Max Reprojection Outlier Ratio (Advisory),BB_PROC_BA,0.05,#7,max_reproj_to_rms_ratio,FALSE,,,SHEET (v0.2 reviewer fix: advisory weight),max/rms ≤10 → 100; 10-20 → 70 + PROC_REPROJ_OUTLIERS (advisory); 20-50 → 50; >50 → 30 + PROC_REPROJ_SEVERE_OUTLIERS (advisory). Almost always elevated in practice — keep advisory.,report_required
L3I_PROC_009,alignment_accuracy_setting_score,Alignment Accuracy Setting,BB_PROC_IM,0.2,#11,alignment_accuracy_setting_class,FALSE,,,SHEET,Highest/High → 100; Medium → 50 + PROC_ALIGNMENT_ACCURACY_LOW; Low/Lowest → 0 + PROC_ALIGNMENT_ACCURACY_CRITICAL.,report_required
L3I_PROC_010,depth_quality_setting_score,Depth Map Quality Setting,BB_PROC_IM,0.2,#12,depth_quality_setting_class,FALSE,,,SHEET,High/Ultra → 100; Medium → 60 + PROC_DEPTH_QUALITY_MEDIUM (advisory); Low/Lowest → 20 + PROC_DEPTH_QUALITY_LOW.,report_required
L3I_PROC_011,tiepoint_density_score,Tie Point Density per km²,BB_PROC_IM,0.15,#9,tiepoint_density_per_km2,FALSE,,,SHEET,≥3M/km² → 100; 1-3M → 70 + PROC_SPARSE_TIEPOINTS; 0.5-1M → 30 + PROC_VERY_SPARSE_TIEPOINTS; <0.5M → 0.,report_required
L3I_PROC_012,tiepoint_multiplicity_score,Average Tie Point Multiplicity,BB_PROC_IM,0.1,#10,tiepoint_multiplicity_value,FALSE,,,SHEET,≥4 → 100; 3-4 → 70 + PROC_LOW_MULTIPLICITY; 2.5-3 → 30 + PROC_VERY_LOW_MULTIPLICITY; <2.5 → 0.,report_required
L3I_PROC_013,filtering_mode_appropriateness_score,Depth Filtering Mode vs Site Type,BB_PROC_IM,0.1,#13,filtering_mode_site_match,FALSE,,,SHEET,"match (flat-structured=Mild, vegetated=Aggressive, mining-pit=Moderate) → 100; mismatch → 50 + PROC_FILTERING_INSUFFICIENT or PROC_FILTERING_OVERSMOOTHED.",report_and_manifest_required
L3I_PROC_014,marker_image_coverage_score,Per-Marker Image Triangulation Strength,BB_PROC_IM,0.1,#14,marker_image_count_per_marker,FALSE,,,SHEET (borderline-included per user decision),per-marker: ≥5 images → 100; 3-4 → 50 + PROC_MARKER_WEAK; <3 → 0 + PROC_MARKER_INSUFFICIENT_IMAGES. Aggregate via mean − 0.25 × (100 − min).,report_required
L3I_PROC_015,localized_reconstruction_score,Localized Reconstruction Collapse (v1 partial),BB_PROC_IM,0.1,#37,localized_reconstruction_v1_proxy,FALSE,,,SHEET (v1 partial / v2 full per v0.2 reviewer),v1: IF tiepoint_density <1M/km² OR DEM has visible voids → 50 + PROC_LOCALIZED_RECON_COLLAPSE (advisory). v2: density-map parsing for honest spatial detection. **Documented v1 limitation — full detection requires v2.**,report_required
