derived_id,derived_name,subsystem,formula_expression,formula_notes,meaning,units,input_field_ids
L2D_IMG_001,image_validity_ratio,Imaging System,valid_images / total_images,Fraction of captured images that are usable.,Fraction of captured images that are usable. Corrupted or unreadable images reduce effective coverage.,ratio 0-1,L1F_IMG_002;L1F_IMG_001
L2D_IMG_002,image_geotag_ratio,Imaging System,geotagged_images / total_images,Fraction of images with any GPS coordinate in EXIF.,Fraction of images with any GPS coordinate in EXIF. Images without geotags cannot be used in photogrammetric reconstruction.,ratio 0-1,L1F_IMG_003;L1F_IMG_001
L2D_IMG_003,image_format_is_raw,Imaging System,image_format == 'DNG' or image_format == 'RAW',Boolean: images in raw uncompressed format.,Boolean: images are in raw uncompressed format. DNG/RAW retains full radiometric depth.,boolean,L1F_IMG_004
L2D_IMG_004,image_computed_overlap_fwd_pct,Imaging System,computed from EXIF GPS positions + image footprint geometry: footprint_width = (sensor_width_mm/focal_length_mm) * actual_altitude; overlap_fwd = 1 - (along_track_distance / footprint_height),"Forward overlap computed from actual EXIF positions, not from any flight log.",Forward overlap computed from actual image EXIF positions and footprint geometry. Independent of any GCS-computed metric.,percent,L1F_IMG_005;L1F_IMG_006;L1F_IMG_007;L1F_IMG_013;L1F_CAL_003;L1F_CAL_004;L1F_CAL_005;L1F_BIN_TLM_001
L2D_IMG_005,image_computed_overlap_lat_pct,Imaging System,"same method as image_computed_overlap_fwd_pct, lateral (cross-track) direction",Lateral overlap computed from actual EXIF positions.,Lateral overlap computed from actual EXIF positions. Captures cases where flight lines drifted apart.,percent,L1F_IMG_005;L1F_IMG_006;L1F_IMG_007;L1F_IMG_013;L1F_CAL_003;L1F_CAL_004;L1F_CAL_005;L1F_BIN_TLM_001
L2D_IMG_006,camera_make_match,Imaging System,EXIF.Make == calibration.camera_make,Boolean: camera manufacturer match.,Boolean: the camera manufacturer in EXIF matches the calibration file. Mismatches mean the calibration applies to different hardware.,boolean,L1F_IMG_009;L1F_CAL_001
L2D_IMG_007,camera_model_match,Imaging System,EXIF.Model == calibration.camera_model,Boolean: camera model match.,Boolean: the camera model in EXIF matches the calibration file.,boolean,L1F_IMG_010;L1F_CAL_002
L2D_IMG_008,calibration_age_months,Imaging System,"months_between(calibration_date, survey_date)",survey_date taken from BIN CAM gnss_timestamp_utc (first CAM record).,"Age of the camera calibration in months at time of survey. Calibration parameters drift with thermal cycling, vibration, lens handling.",months,L1F_CAL_007;L1F_BIN_CAM_002
L2D_IMG_009,exposure_consistency_ratio,Imaging System,std_dev(EXIF.ExposureTime across all images) / mean(EXIF.ExposureTime),Coefficient of variation — lower = more consistent exposure.,How stable camera exposure was throughout the flight session. High variance means radiometric inconsistency.,CV (dimensionless),L1F_IMG_016
L2D_GNSS_001,rinex_coverage_ratio,GNSS Receiver (Rover),obs_duration_sec / flight_duration_sec,Ratio > 1.0 is ideal (recording started before takeoff and ended after landing).,Fraction of the flight that has RINEX coverage. Ratio > 1.0 is ideal. Below 1.0 means part of the flight has no rover observations.,ratio,L1F_GNSS_003;L1F_BIN_TLM_004
L2D_GNSS_002,dual_freq_available,GNSS Receiver (Rover),dual_freq_ratio > 0.95,Boolean threshold on dual frequency ratio.,Boolean: the RINEX file is predominantly dual-frequency. Enables ionospheric correction in PPK.,boolean,L1F_GNSS_013
L2D_GNSS_003,critical_gap_present,GNSS Receiver (Rover),any_gap_gt_60s,Direct rename of source boolean for indicator clarity.,Boolean: any gap in RINEX recording exceeds 60 seconds. A gap this long during a short drone flight effectively breaks PPK.,boolean,L1F_GNSS_017
L2D_GNSS_004,rover_acquisition_time_sec,GNSS Receiver (Rover),time from first RINEX epoch to first epoch where sat_count >= 4 AND cn0_mean >= 30,Iterate epochs in RINEX file; record time delta from obs_start_utc to first stable epoch.,How long the rover took to reach stable satellite tracking after recording began.,seconds,L1F_GNSS_001;L1F_GNSS_010;L1F_GNSS_008
L2D_GNSS_005,mean_pdop_during_flight,GNSS Receiver (Rover),mean(PDOP values) computed from satellite geometry across all RINEX epochs within the flight window,PDOP must be computed from RINEX satellite positions (not directly stored). Flight window now derived from BIN ARM/DISARM.,Mean Position Dilution of Precision during the actual flight window. Low PDOP means good satellite geometry.,dimensionless,L1F_GNSS_001;L1F_GNSS_002;L2D_BIN_001;L2D_BIN_002
L2D_GNSS_006,max_pdop_during_flight,GNSS Receiver (Rover),max(PDOP values) during flight window,Same window as mean_pdop_during_flight.,Worst-case satellite geometry during the flight. A spike above 6.0 during the flight is much worse than the same value while parked.,dimensionless,L1F_GNSS_001;L1F_GNSS_002;L2D_BIN_001;L2D_BIN_002
L2D_BIN_001,flight_start_utc,Flight Controller,convert(ARM_event_timestamp) using GPS.GWk + GPS.GMS at the GPS message closest to ARM,One-time conversion in BIN parser.,"True UTC takeoff timestamp, derived from the BIN ARM event by cross-referencing the nearest GPS week + time-of-week. No external clock required.",UTC datetime,L1F_BIN_TLM_004
L2D_BIN_002,flight_end_utc,Flight Controller,convert(DISARM_event_timestamp) using GPS.GWk + GPS.GMS at the GPS message closest to DISARM,Same conversion at DISARM.,"True UTC landing timestamp, derived from the BIN DISARM event.",UTC datetime,L1F_BIN_TLM_004
L2D_BIN_003,abort_count,Flight Controller,count(MODE transitions into RTL or LAND while ARM_state is True),From BIN MODE messages.,"Number of mid-flight mode changes into RTL or LAND, used as a proxy for mission interruptions.",count,L1F_BIN_TLM_004
L2D_BIN_004,rtb_triggered,Flight Controller,any(MODE == RTL during flight window),From BIN MODE messages.,Boolean: did the drone initiate a return-to-base mode during the flight.,boolean,L1F_BIN_TLM_004
L2D_BIN_005,cam_image_count_match,Flight Controller,cam_record_count == total_images,Cross-file check between BIN CAM records and Images source.,Derived boolean: number of CAM shutter records in the BIN matches the number of image files on the SD card. Mismatch indicates a recording error.,boolean,L1F_BIN_CAM_005;L1F_IMG_001
L2D_FC_001,planned_area_m2,Flight Controller,area(polygon(CMD NAV_WAYPOINT lat/lng)),Shoelace formula on convex hull or polygon of waypoints.,Survey area polygon area derived from BIN CMD waypoints. Replaces the former planned_area_m2 source field.,m²,L1F_BIN_MP_004;L1F_BIN_MP_005
L2D_FC_002,planned_gsd_cm,Flight Controller,(sensor_width_mm * planned_altitude_m * 100) / (focal_length_mm * image_width_px),"Camera params from calibration, altitude from BIN.",Target GSD derived from planned altitude and camera geometry. Replaces former source field.,cm/pixel,L1F_BIN_MP_001;L1F_CAL_003;L1F_CAL_004;L1F_IMG_011
L2D_FC_003,actual_gsd_cm,Flight Controller,(sensor_width_mm * actual_altitude_mean_m * 100) / (focal_length_mm * image_width_px),Same formula using actual mean altitude from BIN CTUN.,Achieved GSD computed from actual mean altitude and camera geometry. Replaces former source field.,cm/pixel,L1F_BIN_TLM_001;L1F_CAL_003;L1F_CAL_004;L1F_IMG_011
L2D_FC_004,actual_coverage_pct,Flight Controller,(union_area(geotagged image footprints) / planned_area_m2) * 100,Footprint per image computed from altitude + sensor geometry; union polygon over all geotagged images.,"Actual coverage percentage of planned area, computed from the union of geotagged image footprints. Replaces former source field.",percent,L1F_IMG_005;L1F_IMG_006;L1F_BIN_TLM_001;L1F_CAL_003;L1F_CAL_004;L1F_CAL_005;L2D_FC_001
L2D_FC_005,gsd_execution_ratio,Flight Controller,actual_gsd_cm / planned_gsd_cm,Ratio near 1.0 = good altitude control.,How closely the achieved GSD matched the planned GSD. Ratio near 1.0 = good altitude control.,ratio,L2D_FC_003;L2D_FC_002
L2D_FC_006,overlap_fwd_execution_ratio,Flight Controller,image_computed_overlap_fwd_pct / planned_overlap_fwd_pct,Uses computed actual overlap (L2D_IMG_004) divided by user-input planned overlap.,How closely achieved forward overlap matched planned overlap.,ratio,L2D_IMG_004;L1F_UI_001
L2D_FC_007,overlap_lat_execution_ratio,Flight Controller,image_computed_overlap_lat_pct / planned_overlap_lat_pct,Same pattern as fwd.,How closely achieved lateral overlap matched planned overlap.,ratio,L2D_IMG_005;L1F_UI_002
L2D_FC_008,altitude_execution_ratio,Flight Controller,actual_altitude_mean_m / planned_altitude_m,,How closely mean actual altitude matched planned altitude.,ratio,L1F_BIN_TLM_001;L1F_BIN_MP_001
L2D_FC_009,mission_completion_ratio,Flight Controller,waypoints_completed / planned_waypoint_count,,Fraction of planned waypoints successfully visited.,ratio,L1F_BIN_TLM_005;L1F_BIN_MP_003
L2D_FC_010,area_coverage_ratio,Flight Controller,actual_coverage_pct / 100,,Fraction of the planned survey area that was actually flown.,ratio,L2D_FC_004
L2D_FC_011,wind_impact_ratio,Flight Controller,mean_wind_speed_ms / 12.0,12 m/s = typical maximum operational wind speed for survey drones.,Mean wind speed normalised against the operational limit.,ratio,L1F_API_001
L2D_FC_012,altitude_variance_m,Flight Controller,std_dev(CTUN altitude values during cruise lines),Excludes takeoff and landing phases.,How much the drone's altitude fluctuated during the survey lines.,metres (std dev),L1F_BIN_TLM_001;L1F_BIN_TLM_002;L1F_BIN_TLM_003
