field_id,field_name,file_id,category,meaning,is_aspirational,notes
L1F_CP_001,marker_name,SRC_CP_RTK_EXPORT,Identity,Mark/point identifier from device export.,FALSE,
L1F_CP_002,captured_position_ecef,SRC_CP_RTK_EXPORT,Position,Final captured ECEF coordinate from RTK device.,FALSE,
L1F_CP_003,position_sigma_horizontal_m,SRC_CP_RTK_EXPORT,Quality,Receiver-estimated per-point horizontal standard deviation (sigma). The universal anchor indicator. Exported by all RTK devices in principle; may be absent in restricted export configs.,FALSE,
L1F_CP_004,position_sigma_vertical_m,SRC_CP_RTK_EXPORT,Quality,Receiver-estimated per-point vertical standard deviation.,FALSE,
L1F_CP_005,fix_type_at_capture,SRC_CP_RTK_EXPORT,Quality,Solution status at capture moment: FIXED / FLOAT / AUTONOMOUS. Hard-gates per-point completeness if FLOAT or AUTONOMOUS.,FALSE,
L1F_CP_006,correction_age_at_capture_sec,SRC_CP_RTK_EXPORT,Quality,Age of the RTK correction stream at the capture moment. May be missing on some third-party exports (Trimble JXL / Emlid CSV).,FALSE,
L1F_CP_007,fix_hold_duration_sec,SRC_CP_RTK_EXPORT,Quality,How long the rover held FIXED before this capture. CB_X full; Trimble/Emlid partial; OTHER often N/A.,FALSE,
L1F_CP_008,pdop_at_capture,SRC_CP_RTK_EXPORT,Geometry,Position dilution of precision at the capture epoch.,FALSE,
L1F_CP_009,sat_count_at_capture,SRC_CP_RTK_EXPORT,Geometry,Tracked satellite count at the capture epoch.,FALSE,
L1F_CP_010,cn0_mean_at_capture,SRC_CP_RTK_EXPORT,Signal,Mean carrier-to-noise density across tracked satellites at capture.,FALSE,
L1F_CP_011,antenna_type,SRC_CP_RTK_EXPORT,Identity,Antenna model as configured/auto-detected by the rover.,FALSE,
L1F_CP_012,device_id,SRC_CP_RTK_EXPORT,Identity,Device serial / ID from the rover.,FALSE,
L1F_CP_013,tilt_logged_deg,SRC_CP_RTK_EXPORT,Setup,"Logged tilt angle at capture (tilt-compensated rovers only — CB_X, Trimble R12+, Emlid RS3+). N/A for older devices.",FALSE,
L1F_CP_014,capture_utc,SRC_CP_RTK_EXPORT,Timing,UTC timestamp of the capture moment.,FALSE,
L1F_CP_015,firmware_version,SRC_CP_RTK_EXPORT,Identity,RTK device firmware version.,FALSE,
L1F_CP_016,raw_log_download_confirmed,SRC_CP_OPLOG,Integrity,True once the device session has been downloaded/synced from the rover.,FALSE,
