indicator_id,indicator_name,display_name,building_block_id,weight_in_block,meaning,input_derived_field_ids,input_source_field_ids,source_chain_text,has_internal_gate,gate_condition,gate_action
L3I_IMG_001,image_validity_score,Image Validity,BB_IMG_CAPTURE,0.28,What fraction of captured images are usable? Corrupted images remove coverage — below 30 triggers the critical drone gate.,L2D_IMG_001,,image_validity_ratio <- valid_images / total_images <- Images source file,TRUE,image_validity_score < 30,Sets image_capture_score = 0 (no recoverable survey data). Raises FLAG: CRITICAL_IMAGE_FAILURE.
L3I_IMG_002,image_geotag_score,Image Geotagging,BB_IMG_CAPTURE,0.22,What fraction of valid images have GPS coordinates? Images without geotags cannot be used in photogrammetric reconstruction.,L2D_IMG_002,,image_geotag_ratio <- geotagged_images / total_images <- Images source file,FALSE,,
L3I_IMG_003,image_overlap_score,Actual Image Overlap,BB_IMG_CAPTURE,0.15,"Do the actual image positions prove sufficient overlap exists? Computed from real EXIF positions, independent of any GCS log.",L2D_IMG_004;L2D_IMG_005,,"min(image_computed_overlap_fwd_pct, image_computed_overlap_lat_pct) <- EXIF GPS + camera footprint geometry",FALSE,,
L3I_IMG_004,image_format_score,Image Format Quality,BB_IMG_CAPTURE,0.1,Are images in a format that preserves full radiometric data? DNG and RAW formats preserve full sensor depth.,L2D_IMG_003,L1F_IMG_004,image_format_is_raw <- image_format field <- Images source file,FALSE,,
L3I_IMG_005,image_exposure_consistency_score,Exposure Consistency During Session,BB_IMG_CAPTURE,0.07,How stable was camera exposure throughout the entire flight session? High exposure variance means radiometric inconsistency.,L2D_IMG_009,,exposure_consistency_ratio <- std_dev(EXIF.ExposureTime) / mean(EXIF.ExposureTime) <- Images source file,FALSE,,
L3I_IMG_006,calibration_match_score,Camera Calibration Match,BB_IMG_CAPTURE,0.11,Do the camera make and model in EXIF match the calibration file? Wrong calibration applied to wrong hardware ruins geometric accuracy.,L2D_IMG_006;L2D_IMG_007,,camera_make_match + camera_model_match <- EXIF.Make/Model vs calibration file,FALSE,,Also used by CAL_CONF (different thresholds — see L3I_CAL_002).
L3I_IMG_007,calibration_source_score,Calibration Source Quality,BB_IMG_CAPTURE,0.07,Where did the calibration parameters come from? Physically measured > database lookup > self-calibrated.,,L1F_CAL_006,calibration_source <- Camera Calibration source file,FALSE,,Also used by CAL_CONF (different thresholds — see L3I_CAL_001).
L3I_GNSS_001,rover_coverage_score,Rover RINEX Coverage,BB_ROVER_GNSS,0.3,Did the rover record throughout the entire flight with adequate buffer before and after?,L2D_GNSS_001,L1F_GNSS_004;L1F_GNSS_005,rinex_coverage_ratio + pre_buffer_sec + post_buffer_sec <- obs_duration_sec / flight_duration_sec,FALSE,,
L3I_GNSS_002,rover_signal_score,Rover Signal Quality,BB_ROVER_GNSS,0.25,How strong and clean was the satellite signal during the flight? C/N0 below 30dBHz indicates degraded signal.,,L1F_GNSS_008;L1F_GNSS_012,cn0_mean_dbhz + cycle_slip_count <- Rover RINEX source file,FALSE,,
L3I_GNSS_003,rover_frequency_score,Dual Frequency Availability,BB_ROVER_GNSS,0.15,Is dual-frequency GNSS data available? Enables ionospheric correction critical for PPK precision.,L2D_GNSS_002,,dual_freq_available <- dual_freq_ratio > 0.95 <- Rover RINEX source file,FALSE,,
L3I_GNSS_004,rover_continuity_score,Recording Continuity,BB_ROVER_GNSS,0.1,Were there any critical recording gaps? A gap over 60 seconds during a short drone flight effectively breaks PPK.,L2D_GNSS_003,,critical_gap_present <- any_gap_gt_60s <- Rover RINEX source file,TRUE,critical_gap_present == True,HARD RULE: Sets rover_continuity_score = 0. Raises FLAG: RINEX_CRITICAL_GAP.
L3I_GNSS_005,rover_acquisition_score,Satellite Acquisition Speed,BB_ROVER_GNSS,0.1,How quickly did the rover reach stable satellite tracking after recording began?,L2D_GNSS_004,,rover_acquisition_time_sec <- time from first RINEX epoch to first stable tracking,FALSE,,
L3I_GNSS_006,rover_pdop_score,Satellite Geometry During Flight,BB_ROVER_GNSS,0.1,How good was satellite geometry during the actual flight window? PDOP magnifies all measurement errors.,L2D_GNSS_005;L2D_GNSS_006,,mean_pdop_during_flight + max_pdop_during_flight <- computed from satellite positions within BIN-derived flight window,FALSE,,
