field_id,field_name,file_id,category,meaning,acquisition_mode,is_aspirational,notes
L1F_PP_001,image_id,SRC_PP_GEOTAGS,Identity,Per-image identifier (filename/sequence number).,auto,FALSE,
L1F_PP_002,geotag_position,SRC_PP_GEOTAGS,Position,Per-image position from EXIF or sidecar.,auto,FALSE,
L1F_PP_003,per_geotag_fix_status,SRC_PP_GEOTAGS,Quality,"Per-image fix quality flag (Q=1 FIXED, Q=2 FLOAT, Q=5 AUTONOMOUS, etc).",auto,FALSE,
L1F_PP_004,geotag_count,SRC_PP_GEOTAGS,Identity,Total number of geotagged images in the set.,auto,FALSE,
L1F_PP_005,crs_in_exif,SRC_PP_GEOTAGS,Reference,CRS metadata in EXIF or sidecar.,auto,FALSE,
L1F_PP_006,image_capture_utc,SRC_PP_GEOTAGS,Timing,Image acquisition time from EXIF.,auto,FALSE,
L1F_PP_007,camera_serial,SRC_PP_GEOTAGS,Identity,Camera serial number from EXIF — for cross-check vs manifest.,auto,FALSE,
L1F_PP_008,gcp_id,SRC_PP_GCP_COORDS,Identity,Per-GCP identifier.,auto,FALSE,
L1F_PP_009,gcp_position,SRC_PP_GCP_COORDS,Position,Per-GCP processed coordinate.,auto,FALSE,
L1F_PP_010,per_gcp_sigma_h,SRC_PP_GCP_COORDS,Quality,Per-GCP horizontal σ from processing.,auto,FALSE,
L1F_PP_011,per_gcp_sigma_v,SRC_PP_GCP_COORDS,Quality,Per-GCP vertical σ from processing.,auto,FALSE,
L1F_PP_012,crs_in_coord_file_header,SRC_PP_GCP_COORDS,Reference,CRS metadata in the GCP coord file header.,auto,FALSE,
L1F_PP_013,cp_id,SRC_PP_CP_COORDS,Identity,Per-CP identifier.,auto,FALSE,
L1F_PP_014,cp_position,SRC_PP_CP_COORDS,Position,Per-CP processed coordinate.,auto,FALSE,
L1F_PP_015,per_cp_sigma_h,SRC_PP_CP_COORDS,Quality,Per-CP horizontal σ from processing.,auto,FALSE,
L1F_PP_016,per_cp_sigma_v,SRC_PP_CP_COORDS,Quality,Per-CP vertical σ from processing.,auto,FALSE,
