field_id,field_name,file_id,category,meaning,acquisition_mode,is_aspirational,notes
L1F_PROC_001,reportSurveyData_n_images,SRC_PROC_REPORT,Identity,Number of images imported (Survey Data section).,auto,FALSE,
L1F_PROC_002,reportSurveyData_camera_stations,SRC_PROC_REPORT,Identity,Camera stations / aligned camera count.,auto,FALSE,
L1F_PROC_003,reportSurveyData_tie_points,SRC_PROC_REPORT,Quality,Tie point count.,auto,FALSE,
L1F_PROC_004,reportSurveyData_projections,SRC_PROC_REPORT,Quality,Total projections.,auto,FALSE,
L1F_PROC_005,reportSurveyData_reprojection_error_pix,SRC_PROC_REPORT,Quality,Overall reprojection error in pixels.,auto,FALSE,
L1F_PROC_006,reportSurveyData_flying_altitude_m,SRC_PROC_REPORT,Identity,Flying altitude.,auto,FALSE,
L1F_PROC_007,reportSurveyData_ground_resolution_cm,SRC_PROC_REPORT,Identity,Ground sample distance (cm/pix).,auto,FALSE,
L1F_PROC_008,reportSurveyData_coverage_area_km2,SRC_PROC_REPORT,Identity,Survey coverage area (km²).,auto,FALSE,
L1F_PROC_009,reportCameras_camera_model,SRC_PROC_REPORT,Identity,Camera model string from Table 1.,auto,FALSE,
L1F_PROC_010,reportCameras_resolution,SRC_PROC_REPORT,Identity,Camera resolution string.,auto,FALSE,
L1F_PROC_011,reportCameras_focal_length,SRC_PROC_REPORT,Identity,Camera focal length.,auto,FALSE,
L1F_PROC_012,reportCameras_pixel_size,SRC_PROC_REPORT,Identity,Camera pixel size.,auto,FALSE,
L1F_PROC_013,reportCameras_precalibrated,SRC_PROC_REPORT,Setup,Yes/No — was camera pre-calibrated?,auto,FALSE,
L1F_PROC_014,reportCalibration_correlation_matrix,SRC_PROC_REPORT,Quality,"Full correlation matrix between F, Cx, Cy, B1, B2, K1, K2, K3, P1, P2 calibration coefficients.",auto,FALSE,
L1F_PROC_015,reportCalibration_k1_k2_correlation,SRC_PROC_REPORT,Quality,Specifically the K1-K2 correlation cell (high values indicate ill-conditioned self-calibration).,auto,FALSE,
L1F_PROC_016,reportCalibration_k2_k3_correlation,SRC_PROC_REPORT,Quality,K2-K3 correlation cell.,auto,FALSE,
L1F_PROC_017,reportCameraLocations_x_err_cm,SRC_PROC_REPORT,Quality,Average camera location X error (cm).,auto,FALSE,
L1F_PROC_018,reportCameraLocations_y_err_cm,SRC_PROC_REPORT,Quality,Average camera location Y error (cm).,auto,FALSE,
L1F_PROC_019,reportCameraLocations_z_err_cm,SRC_PROC_REPORT,Quality,Average camera location Z error (cm).,auto,FALSE,
L1F_PROC_020,reportCameraLocations_xy_err_cm,SRC_PROC_REPORT,Quality,Average XY error (cm).,auto,FALSE,
L1F_PROC_021,reportCameraLocations_total_err_cm,SRC_PROC_REPORT,Quality,Average total error (cm).,auto,FALSE,
L1F_PROC_022,reportGCP_control_points_count,SRC_PROC_REPORT,Identity,Number of markers designated as control points in bundle.,auto,FALSE,
L1F_PROC_023,reportGCP_check_points_count,SRC_PROC_REPORT,Identity,Number of markers designated as check points.,auto,FALSE,
L1F_PROC_024,reportGCP_total_markers_count,SRC_PROC_REPORT,Identity,Total markers in Processing Parameters section.,auto,FALSE,
L1F_PROC_025,reportGCP_control_rmse_total_cm,SRC_PROC_REPORT,Quality,Total RMSE on control points (cm).,auto,FALSE,
L1F_PROC_026,reportGCP_control_rmse_xy_cm,SRC_PROC_REPORT,Quality,XY RMSE on control points.,auto,FALSE,
L1F_PROC_027,reportGCP_control_rmse_z_cm,SRC_PROC_REPORT,Quality,Z RMSE on control points.,auto,FALSE,
