indicator_id,indicator_name,display_name,building_block_id,weight_in_block,covers_problems,input_derived_fields,has_internal_gate,gate_condition,gate_action,justification,threshold_summary,evidence_required,applies_to_paths,view_only,used_by_views,used_by_score
L3I_PP_001,ref_frame_declared_score,CRS / Datum Declaration vs Project,BB_PP_REF,0.3,#1,crs_match_project,TRUE,crs_match_project=False,reference_frame_score=0; FLAG: PP_WRONG_CRS_DATUM (CATASTROPHIC). Zeros pre_processing_score.,SHEET,declared CRS/datum matches project across all artifacts → 100; mismatch → 0 + FLAG: PP_WRONG_CRS_DATUM.,declared_manifest,ALL_PATHS,,,
L3I_PP_002,geoid_model_declared_score,Geoid Model Declaration vs Project,BB_PP_REF,0.2,#2,geoid_match_project,FALSE,,,SHEET,declared geoid matches project + consistent across artifacts → 100; mismatch → 0 + FLAG: PP_GEOID_MISMATCH.,declared_manifest,ALL_PATHS,,,
L3I_PP_003,height_mode_declared_score,Height Mode Declaration,BB_PP_REF,0.15,#3,height_mode_consistency,FALSE,,,SHEET,all artifacts same height_mode AND matches project → 100; inconsistent → 30 + FLAG: PP_HEIGHT_MODE_INCONSISTENT; project mismatch → 0 + FLAG: PP_HEIGHT_MODE_WRONG.,declared_manifest,ALL_PATHS,,,
L3I_PP_004,projection_declared_score,Projection Declaration vs Survey Location,BB_PP_REF,0.1,#7,projection_match_location,TRUE,projection_match_location=False,reference_frame_score=0; FLAG: PP_WRONG_PROJECTION (CATASTROPHIC). Zeros pre_processing_score.,SHEET,projection consistent with site bounding box → 100; mismatch → 0 + FLAG: PP_WRONG_PROJECTION.,declared_manifest,ALL_PATHS,,,
L3I_PP_005,output_crs_metadata_score,Output CRS Metadata in Artifacts,BB_PP_REF,0.1,#6,output_crs_metadata_present,FALSE,,,SHEET,CRS metadata present in each artifact AND matches declared → 100; missing → 50 + FLAG: PP_OUTPUT_CRS_MISSING; mismatch → 0 + FLAG: PP_OUTPUT_CRS_MISMATCH.,artifact_only,ALL_PATHS,,,
L3I_PP_006,units_declared_score,Units Declaration vs Project,BB_PP_REF,0.05,#8,units_match_project,FALSE,,,SHEET,units declared + match project + consistent → 100; mismatch → 0 + FLAG: PP_UNITS_MISMATCH.,declared_manifest,ALL_PATHS,,,
L3I_PP_007,customer_coord_crs_declared_score,Customer-Supplied Coord CRS,BB_PP_REF,0.05,#4,customer_coord_crs_consistent,FALSE,,,SHEET,customer-supplied GCP file declares CRS + matches project → 100; missing → 30 + FLAG: PP_CUSTOMER_COORDS_NO_CRS; mismatch → 0 + FLAG: PP_CUSTOMER_COORDS_WRONG_CRS. N/A when not customer-supplied (weight redistributes).,declared_manifest,CUSTOMER_SUPPLIED,,,
L3I_PP_008,localization_disclosed_score,Site Localization Disclosure,BB_PP_REF,0.02,#5,localization_disclosed,FALSE,,,SHEET,localization disclosed (whether applied or not) → 100; not disclosed → 60 + FLAG: PP_LOCALIZATION_UNDISCLOSED (HIGH).,declared_manifest,ALL_PATHS,,,
L3I_PP_009,provenance_consistency_score,Realization/Epoch Provenance Consistency,BB_PP_REF,0.01,#42,provenance_realization_consistent,FALSE,,,SHEET,all control declares same realization/epoch → 100; mixed → 50 + FLAG: PP_MIXED_PROVENANCE.,declared_manifest,ALL_PATHS,,,
L3I_PP_010,base_pairing_score,Drone-Base File Pairing,BB_PP_GEO,0.25,#33,drone_session_within_base_window,FALSE,,,SHEET (silent CATASTROPHIC inside block — heavily weighted),drone session within base window AND base_file_id matches → 100; outside OR mismatched → 0 + FLAG: PP_WRONG_BASE_PAIRED.,artifact_only,LOCAL_BASE_PPK,,,
