flag_id,flag_name,raised_by_type,condition,severity,covers_problems,meaning,raised_at_stage
FLG_PP_001,PP_WRONG_CRS_DATUM,indicator_gate,crs_match_project=False,CATASTROPHIC,#1,Declared CRS/datum does not match project requirement. Zeros pre_processing_score.,global_gate
FLG_PP_002,PP_WRONG_PROJECTION,indicator_gate,projection_match_location=False,CATASTROPHIC,#7,Declared projection inconsistent with survey location. Zeros pre_processing_score.,global_gate
FLG_PP_003,PP_GCP_AUTONOMOUS_PATH,indicator_gate,gcp_path_acceptable=False,CATASTROPHIC,#17,GCP processing path declared as AUTONOMOUS — unfit for survey-grade control. Zeros pre_processing_score via gcp_coord_trust_score=0.,global_gate
FLG_PP_004,PP_GEOID_MISMATCH,indicator,geoid_match_project=False,CATASTROPHIC,#2,Geoid model mismatch with project or inconsistent across artifacts.,threshold
FLG_PP_005,PP_HEIGHT_MODE_INCONSISTENT,indicator,height_mode inconsistent across artifacts,CRITICAL,#3,Height mode declarations disagree across artifacts.,threshold
FLG_PP_006,PP_HEIGHT_MODE_WRONG,indicator,height_mode mismatch with project requirement,CATASTROPHIC,#3,Height mode mismatch with project.,threshold
FLG_PP_007,PP_OUTPUT_CRS_MISSING,indicator,crs_in_artifact metadata absent,CRITICAL,#6,Output artifact missing CRS metadata.,threshold
FLG_PP_008,PP_OUTPUT_CRS_MISMATCH,indicator,crs_in_artifact != declared_crs,CRITICAL,#6,Output artifact CRS metadata disagrees with declared CRS.,threshold
FLG_PP_009,PP_UNITS_MISMATCH,indicator,units mismatch,CATASTROPHIC,#8,Declared units mismatch with project or inconsistent.,threshold
FLG_PP_010,PP_CUSTOMER_COORDS_NO_CRS,indicator,customer_supplied_coord_crs absent,CRITICAL,#4,Customer-supplied GCP coordinates without CRS declaration.,threshold
FLG_PP_011,PP_CUSTOMER_COORDS_WRONG_CRS,indicator,customer_supplied_coord_crs mismatch,CATASTROPHIC,#4,Customer-supplied GCPs declared in wrong CRS.,threshold
FLG_PP_012,PP_LOCALIZATION_UNDISCLOSED,indicator,localization_disclosed=False,HIGH,#5,Site localization disclosure missing from manifest.,threshold
FLG_PP_013,PP_MIXED_PROVENANCE,indicator,provenance_realization_consistent=False,MEDIUM,#42,Control sources use different ITRF realizations or epochs.,threshold
FLG_PP_014,PP_SETTINGS_DECLARED_ACTUAL_MISMATCH,indicator,manifest-declared settings != report-actual settings,HIGH,#36,Approach 2 check: manifest declarations contradict processing-report actuals. Report-dependent.,threshold
FLG_PP_015,PP_WRONG_BASE_PAIRED,indicator,drone_session not within base window OR base_file_id mismatch,CATASTROPHIC,#33,Wrong base RINEX paired with drone PPK — silent within-block CAT.,threshold
FLG_PP_016,PP_GEOTAG_PARTIAL_FIX,indicator,0.80 <= fraction_fixed < 0.95,HIGH,#9,Partial PPK fix across geotag set.,threshold
FLG_PP_017,PP_GEOTAG_POOR_FIX,indicator,0.50 <= fraction_fixed < 0.80,CRITICAL,#9,Poor PPK fix across geotag set.,threshold
FLG_PP_018,PP_GEOTAG_NOT_FIXED,indicator,fraction_fixed < 0.50,CATASTROPHIC,#9,Less than half of geotags achieved FIXED solution.,threshold
FLG_PP_019,PP_GEOTAGS_INCOMPLETE,indicator,0.80 <= completeness < 0.95,HIGH,#10,Geotag count below captured image count.,threshold
FLG_PP_020,PP_GEOTAGS_SEVERELY_INCOMPLETE,indicator,completeness < 0.80,CATASTROPHIC,#10,Severe geotag gap — many images without position.,threshold
FLG_PP_021,PP_LONG_BASELINE,indicator,baseline 10-20 km,HIGH,#11,Distance-dependent error baked into geotags.,threshold
FLG_PP_022,PP_EXCESSIVE_BASELINE,indicator,baseline > 20 km,CRITICAL,#11,Excessive baseline — accuracy claim should be downgraded.,threshold
FLG_PP_023,PP_PARTIAL_BASE_OVERLAP,indicator,0.80 <= session_overlap < 0.95,HIGH,#13,Partial overlap between drone flight and base recording.,threshold
FLG_PP_024,PP_INSUFFICIENT_OVERLAP,indicator,session_overlap < 0.80,CRITICAL,#13,Drone flight largely outside base recording window.,threshold
FLG_PP_025,PP_SPARSE_TIEPOINTS_RISK,indicator,planned_overlap below threshold,HIGH,#37,Overlap insufficient for low-texture terrain — mining-specific.,threshold
FLG_PP_026,PP_ANTENNA_PCO_MISMATCH,indicator,antenna_pco_match=False,HIGH,#14,Declared antenna model mismatches device-actual.,threshold
FLG_PP_027,PP_SENSOR_METADATA_MISMATCH,indicator,sensor_metadata_consistent=False,HIGH,#34,EXIF / manifest / flight-log camera disagreement.,threshold
FLG_PP_028,PP_CORS_MINOR_GAP,indicator,minor CORS epoch gaps,HIGH,#12,CORS data has minor gaps during flight (report-dependent).,threshold
FLG_PP_029,PP_CORS_MAJOR_GAP,indicator,major CORS epoch gaps,CRITICAL,#12,CORS data has major gaps during flight (report-dependent).,threshold
FLG_PP_030,PP_TIME_SYNC_DRIFT,indicator,100ms-1s time-sync residual,HIGH,#15,Time-sync drift detected (report-dependent).,threshold
FLG_PP_031,PP_TIME_SYNC_SEVERE,indicator,>1s time-sync residual,CRITICAL,#15,Severe time-sync drift (report-dependent).,threshold
FLG_PP_032,PP_FLIGHT_CONDITION_RISK,advisory,flight_conditions_declared=adverse,HIGH (advisory),#41,Declared adverse flight conditions; cross-handoff to drone chain.,threshold
FLG_PP_033,PP_GCP_SIGMA_MARGINAL,indicator,σ_h 1-2× target,HIGH,#16,GCP σ at 1-2× target.,threshold
FLG_PP_034,PP_GCP_SIGMA_HIGH,indicator,σ_h 2-5× target,CRITICAL,#16,GCP σ at 2-5× target.,threshold
FLG_PP_035,PP_GCP_SIGMA_REJECT,indicator,σ_h > 5× target,CRITICAL,#16,GCP σ catastrophically high — point not usable as control.,threshold
