field_id,field_name,file_id,category,meaning,acquisition_mode,is_aspirational,notes
L1F_GCP_001,marker_name,SRC_GCP_RINEX,Header Identity,Marker/point identifier from RINEX header. Basis for matching point records.,auto,FALSE,
L1F_GCP_002,antenna_type,SRC_GCP_RINEX,Header Antenna,Antenna model from ANT # / TYPE record. Cross-checked vs operator-entered antenna_model.,auto,FALSE,
L1F_GCP_003,antenna_delta_h,SRC_GCP_RINEX,Header Antenna,"ARP height above marker from ANTENNA: DELTA H/E/N record, as configured in the device. Often 0.000 if unset. Second independent height source.",auto,FALSE,
L1F_GCP_004,receiver_type,SRC_GCP_RINEX,Header Hardware,Receiver model from REC # / TYPE / VERS header record.,auto,FALSE,
L1F_GCP_005,firmware_version,SRC_GCP_RINEX,Header Hardware,Receiver firmware/version from RINEX extended header where written. May be null.,auto,FALSE,
L1F_GCP_006,approx_position_xyz,SRC_GCP_RINEX,Header Position,Approximate ECEF position from header (autonomous seed). Used for set-spacing computation only — not scored as accuracy.,auto,FALSE,
L1F_GCP_007,rinex_version,SRC_GCP_RINEX,Header Format,"RINEX format version (e.g. 2.11, 3.04). Drives PPK-software compatibility.",auto,FALSE,
L1F_GCP_008,constellation_set,SRC_GCP_RINEX,Header Format,Constellations present (GPS/GLONASS/Galileo/BeiDou).,auto,FALSE,
L1F_GCP_009,obs_start_utc,SRC_GCP_RINEX,Header Timing,First observation epoch time (UTC).,auto,FALSE,
L1F_GCP_010,obs_end_utc,SRC_GCP_RINEX,Header Timing,Last observation epoch time (UTC). Cross-checked against oplog session_end_utc when oplog is expected-present.,auto,FALSE,
L1F_GCP_011,dual_freq_present,SRC_GCP_RINEX,Header Format,Whether L1+L2 (or more) carrier phase is present. Single-frequency worsens iono impact.,auto,FALSE,
L1F_GCP_012,device_id,SRC_GCP_RINEX,Header Identity,Device serial / ID from RINEX header. Cross-checked vs operator-entered device_id.,auto,FALSE,
L1F_GCP_013,epoch_interval_sec,SRC_GCP_RINEX,Body Timing,Nominal logging interval between epochs.,auto,FALSE,
L1F_GCP_014,total_epochs,SRC_GCP_RINEX,Body Timing,Count of recorded epochs in the occupation.,auto,FALSE,
L1F_GCP_015,cn0_per_sat,SRC_GCP_RINEX,Body Signal,Carrier-to-noise density per satellite per epoch. Basis for signal quality and multipath risk.,auto,FALSE,
L1F_GCP_016,cycle_slip_markers,SRC_GCP_RINEX,Body Signal,Cycle-slip indications per satellite. Elevated counts indicate disturbance or obstruction.,auto,FALSE,
L1F_GCP_017,pdop_per_epoch,SRC_GCP_RINEX,Body Geometry,Position dilution of precision over time.,auto,FALSE,
L1F_GCP_018,sat_count_per_epoch,SRC_GCP_RINEX,Body Geometry,Tracked satellite count over time. Acquisition ramp visible at session start.,auto,FALSE,
L1F_GCP_019,session_completed_normally,SRC_GCP_OPLOG,Integrity,True only if recording stopped by deliberate operator action. Null = unconfirmed (DGPS) or expected-absent (CB_X / AEROPOINT / OTHER).,auto,FALSE,
L1F_GCP_020,unexpected_shutdown_count,SRC_GCP_OPLOG,Integrity,Count of mid-session unexpected shutdowns/resets. >=1 raises GCP_POINT_DEVICE_FAILURE.,auto,FALSE,
L1F_GCP_021,battery_start_pct,SRC_GCP_OPLOG,Power,Battery level at occupation start.,auto,FALSE,
L1F_GCP_022,battery_end_pct,SRC_GCP_OPLOG,Power,Battery level at occupation end.,auto,FALSE,
L1F_GCP_023,battery_min_pct,SRC_GCP_OPLOG,Power,Lowest battery level reached during occupation. Adequacy line: >= 20%.,auto,FALSE,
L1F_GCP_024,session_end_utc,SRC_GCP_OPLOG,Integrity,Device-reported session end (UTC). Cross-check vs RINEX last epoch.,auto,FALSE,
L1F_GCP_025,raw_log_download_confirmed,SRC_GCP_OPLOG,Integrity,True once the RINEX has been transferred off the device.,auto,FALSE,
L1F_GCP_026,device_type,SRC_GCP_FORM,Device Identity,Enum: CB_X / AEROPOINT / DGPS / OTHER. Drives oplog branching and antenna-height auto-fill logic.,user,FALSE,
L1F_GCP_027,device_id,SRC_GCP_FORM,Device Identity,Operator-entered device ID. Cross-checked vs RINEX header device_id.,user,FALSE,
L1F_GCP_028,device_role,SRC_GCP_FORM,Survey Role,Locked to GCP for this score. CHECK_POINT points are excluded from gcp_score (future check_point_score).,user,FALSE,
L1F_GCP_029,antenna_model,SRC_GCP_FORM,Antenna Setup,Operator-selected antenna model. Cross-checked vs RINEX antenna_type.,user,FALSE,
L1F_GCP_030,antenna_height_m,SRC_GCP_FORM,Antenna Setup,"Operator-entered height. For CB_X / AEROPOINT, factory-known and auto-filled (indicator = 100). For DGPS, operator-measured. Cross-checked vs RINEX antenna_delta_h when populated.",user,FALSE,
L1F_GCP_031,antenna_height_units,SRC_GCP_FORM,Antenna Setup,Explicit units (m/ft).,user,FALSE,
L1F_GCP_032,antenna_measurement_type,SRC_GCP_FORM,Antenna Setup,VERTICAL or SLANT. Only meaningful for DGPS.,user,FALSE,
L1F_GCP_033,measured_to_reference,SRC_GCP_FORM,Antenna Setup,ARP / SLANT_MARK / MOUNT_BOTTOM / OTHER. Only meaningful for DGPS.,user,FALSE,
L1F_GCP_034,height_measured_count,SRC_GCP_FORM,Antenna Setup,Number of independent measurements. Only meaningful for DGPS.,user,FALSE,
L1F_GCP_035,pole_tripod_fixed_height,SRC_GCP_FORM,Antenna Setup,Fixed pole/tripod height when applicable.,user,FALSE,
L1F_GCP_036,target_type,SRC_GCP_FORM,Target,Target physical type (printed_paper / painted / aeropoint_surface / cb_x_surface / dgps_peg / other).,user,FALSE,
L1F_GCP_037,target_size_m,SRC_GCP_FORM,Target,Target minimum linear dimension. CAPTURED HERE but consumed by pre_processing_score for #11 visibility check; not read by gcp_score.,user,FALSE,
L1F_GCP_038,target_placed_confirmed,SRC_GCP_FORM,Target,Operator confirmation that target was placed and visible at flight time. Reported as metadata; not scored in gcp_score (handed to pre-processing).,user,FALSE,
L1F_GCP_039,flight_start_utc,SRC_GCP_FORM,Flight Context,Drone flight start (UTC) from upload bundle.,user,FALSE,
