flag_id,flag_name,raised_by_type,condition,severity,covers_problems,meaning,raised_at_stage
FLG_GCP_001,GCP_CRITICAL_FAILURE,score,every GCP-role point has occupation_coverage_score=0,CRITICAL,#8 system view,Foundational GCP data unusable across the survey — gcp_score = 0. Parallels DRONE_CRITICAL_FAILURE and BASE_CRITICAL_FAILURE structurally; defined independently.,global_gate
FLG_GCP_002,GCP_POINT_ANTENNA_HEIGHT_MISSING,indicator_gate,antenna_height_m absent AND antenna_height_auto_known=False,CRITICAL,#6,Per-point antenna height not entered for a non-factory-known device — per_point_setup_confidence = 0 for this point.,internal_gate
FLG_GCP_003,GCP_POINT_FLIGHT_GAP,indicator_gate,occupation_coverage_ratio < 1.0,CRITICAL,#8,This GCP did not record over the full flight window; PPK will lack coverage for this point.,internal_gate
FLG_GCP_004,GCP_POINT_DEVICE_FAILURE,indicator,unexpected_shutdown_count >= 1 OR session_completed_normally = false (DGPS only),HIGH,#8,Per-point session interrupted by power/shutdown event.,threshold
FLG_GCP_005,GCP_POINT_LOG_DOWNLOAD_UNCONFIRMED,indicator advisory,raw_log_download_confirmed != True (DGPS only),MEDIUM,#8,Raw log transfer off the device not confirmed (advisory).,threshold
FLG_GCP_006,GCP_POINT_RINEX_VERSION_UNSUPPORTED,indicator,rinex_version not in supported set,HIGH,#10,This point's RINEX version may not be accepted by the PPK pipeline.,threshold
FLG_GCP_007,GCP_POINT_HIGH_MULTIPATH,indicator,multipath_risk_level > 4.0,HIGH,#9,Elevated multipath risk at this point.,threshold
FLG_GCP_008,GCP_POINT_IONO_RISK,indicator,kp_index >= 7 AND single-frequency,HIGH,#20,Ionospheric disturbance likely degraded accuracy at this point. External Kp dependency.,threshold
FLG_GCP_009,GCP_POINT_SLOW_ACQUISITION,indicator,device_acquisition_time_sec >= 300,MEDIUM,#18,Per-point acquisition was unusually slow.,threshold
FLG_GCP_010,GCP_POINT_DEVICE_ID_MISMATCH,indicator (reviewer-blocking),form device_id != RINEX device_id,HIGH,#14,Per-point form/RINEX device_id disagreement. Reviewer-blocking — must be resolved before survey delivery sign-off.,threshold
FLG_GCP_011,GCP_POINT_DISTURBANCE,composite (flag-only),position_disturbance_signature fires,HIGH,#15,Composite signal of physical disturbance during this occupation. Flag-only; no weight. BLIND to slow settling.,composite
FLG_GCP_012,NO_DESIGNATED_GCPS,score advisory,no points with device_role=GCP in survey,CRITICAL,system view,No designated GCPs in this survey. gcp_score = null. Pre-processing handles survey-design implication.,null_handler
FLG_GCP_013,UNRECOGNIZED_DEVICE_TYPE,indicator advisory,device_type = OTHER,MEDIUM,operational,Unknown device hardware; oplog expectations not enforced; reviewer should verify scoring assumptions.,threshold
FLG_GCP_014,GCP_POINT_RINEX_TRUNCATED,composite (DGPS only),"|session_end_utc - obs_end_utc| > tolerance, with oplog expected-present",HIGH,#8,Device end-time and RINEX observation end-time disagree — silent truncation. Applies to DGPS only.,composite
