flag_id,flag_name,raised_by_type,condition,severity,covers_problems,meaning,raised_at_stage
FLG_PROC_001,PROC_OUTPUT_CRS_MISMATCH,indicator_gate,output_crs_project_match=False,CATASTROPHIC,#31,Output CRS does not match project requirement. Zeros processing_score via deliverable_output_score=0.,global_gate
FLG_PROC_002,PROC_NO_MARKERS_AT_ALL,indicator (flag-only),reportGCP_total_markers_count=0,CATASTROPHIC,#16,"Zero markers — no ground truth at all. Bundle PPK-anchored only. Flag-only, not score gate per user decision.",threshold
FLG_PROC_003,PROC_NO_GCPS_USED,indicator (flag-only),reportGCP_control_points_count=0,CRITICAL,#17,Markers exist but all as check points; zero GCPs in bundle. PPK-anchored. Flag-only.,threshold
FLG_PROC_004,PROC_BA_REPROJ_ELEVATED,indicator,1.5 < reprojection_error ≤ 2.5,HIGH,#1,Bundle adjustment reprojection error elevated.,threshold
FLG_PROC_005,PROC_BA_REPROJ_HIGH,indicator,2.5 < reprojection_error ≤ 3.5,CRITICAL,#1,Bundle adjustment reprojection error high.,threshold
FLG_PROC_006,PROC_BA_CONVERGENCE_FAIL,indicator,reprojection_error > 3.5,CATASTROPHIC,#1,Bundle adjustment did not converge.,threshold
FLG_PROC_007,PROC_CAMERAS_PARTIAL_ALIGN,indicator,0.95 ≤ alignment_fraction < 0.98,HIGH,#2,Some cameras failed to align.,threshold
FLG_PROC_008,PROC_CAMERAS_POOR_ALIGN,indicator,0.90 ≤ alignment_fraction < 0.95,CRITICAL,#2,Many cameras failed to align.,threshold
FLG_PROC_009,PROC_CAMERAS_SEVERE_ALIGN_FAIL,indicator,alignment_fraction < 0.90,CATASTROPHIC,#2,Severe camera alignment failure.,threshold
FLG_PROC_010,PROC_CAMERA_POS_ELEVATED,indicator,camera_pos / GSD 2-4×,HIGH,#8,Camera position error elevated vs GSD.,threshold
FLG_PROC_011,PROC_CAMERA_POS_SEVERE,indicator,camera_pos / GSD > 8×,CRITICAL,#8,Severe camera position error.,threshold
FLG_PROC_012,PROC_OPTIMIZATION_INCOMPLETE,indicator,b1/b2 missing from optimization parameters,LOW (advisory),#6,BA optimization parameter set missing b1/b2 (affinity/skew correction). Minor optimization preference per v1.0 pressure-test diagnostic — softened from MEDIUM.,threshold
FLG_PROC_013,PROC_PRECALIB_NOT_LOADED,indicator,"manifest expected precalib loaded, report shows No",HIGH,#4,Operator did not load precalibration when expected.,threshold
FLG_PROC_014,PROC_CAMERA_MODEL_MISMATCH,indicator,manifest camera model ≠ report camera model,HIGH,#5,Camera model declared in manifest does not match Agisoft report.,threshold
FLG_PROC_015,PROC_SELF_CALIB_ILL_CONDITIONED,indicator (compound),precalibrated=No AND |K1-K2 corr| > 0.95 AND degraded reprojection/CP residuals,MEDIUM (advisory),#3,Self-calibration ill-conditioned and showing consequences. v0.2 reviewer: compound condition to avoid universal false-positive flagging.,threshold
FLG_PROC_016,PROC_REPROJ_OUTLIERS,indicator (advisory),10 < max/rms ratio ≤ 20,MEDIUM (advisory),#7,Reprojection outliers present (typical in practice).,threshold
FLG_PROC_017,PROC_REPROJ_SEVERE_OUTLIERS,indicator (advisory),max/rms ratio > 50,MEDIUM (advisory),#7,Reprojection outliers severe.,threshold
FLG_PROC_018,PROC_ALIGNMENT_ACCURACY_LOW,indicator,alignment_accuracy = Medium,CRITICAL,#11,Alignment accuracy setting below recommended.,threshold
FLG_PROC_019,PROC_ALIGNMENT_ACCURACY_CRITICAL,indicator,alignment_accuracy = Low/Lowest,CATASTROPHIC,#11,Alignment accuracy setting catastrophically low.,threshold
FLG_PROC_020,PROC_DEPTH_QUALITY_MEDIUM,indicator (advisory),depth_quality = Medium,MEDIUM (advisory),#12,Depth map quality Medium — common operator choice; advisory.,threshold
FLG_PROC_021,PROC_DEPTH_QUALITY_LOW,indicator,depth_quality = Low/Lowest,CRITICAL,#12,Depth map quality very low.,threshold
FLG_PROC_022,PROC_SPARSE_TIEPOINTS,indicator,tie_density 1-3M/km²,HIGH,#9,Tie point density sparse.,threshold
FLG_PROC_023,PROC_VERY_SPARSE_TIEPOINTS,indicator,tie_density <1M/km²,CRITICAL,#9,Tie point density very sparse.,threshold
