field_id,field_name,file_id,subsystem,category,meaning,data_type,units,acquisition_mode,is_aspirational,notes
L1F_IMG_001,total_images,SRC_IMG_01,Imaging System,Image Inventory,Total number of image files found on the SD card for this flight. Counted automatically by the ingestion script.,integer,count,auto,FALSE,
L1F_IMG_002,valid_images,SRC_IMG_01,Imaging System,Image Inventory,Images that open and parse without errors or file corruption. Corrupted files are excluded from downstream processing.,integer,count,auto,FALSE,
L1F_IMG_003,geotagged_images,SRC_IMG_01,Imaging System,Image Inventory,Images with GPS coordinates present in EXIF. Even approximate coordinates from the onboard GNSS chip count.,integer,count,auto,FALSE,
L1F_IMG_004,image_format,SRC_IMG_01,Imaging System,Image Inventory,"File format of the images: JPG (compressed, smaller) or DNG/RAW (full sensor data, larger).",string,enum(JPG|DNG|RAW),auto,FALSE,
L1F_IMG_005,EXIF.GPSLatitude,SRC_IMG_01,Imaging System,EXIF Position,Latitude at time of capture from onboard GNSS chip. Approximate (2–5m) in PPK workflow.,float,decimal degrees,auto,FALSE,"PPK workflow: approximate position, corrected in Stage 2."
L1F_IMG_006,EXIF.GPSLongitude,SRC_IMG_01,Imaging System,EXIF Position,Longitude at time of capture from onboard GNSS chip.,float,decimal degrees,auto,FALSE,
L1F_IMG_007,EXIF.GPSAltitude,SRC_IMG_01,Imaging System,EXIF Position,Altitude above sea level at capture from onboard GNSS chip.,float,metres,auto,FALSE,
L1F_IMG_008,EXIF.GPSTimeStamp,SRC_IMG_01,Imaging System,EXIF Position,UTC time of capture. Written by camera firmware from GNSS time signal. Used to sync each image with the BIN CAM record / RINEX epoch.,datetime,UTC,auto,FALSE,Used for image-to-RINEX-epoch matching when CAM records or MRK are absent.
L1F_IMG_009,EXIF.Make,SRC_IMG_01,Imaging System,EXIF Camera,Camera manufacturer name. Written by camera firmware. Used to match against the calibration file Make.,string,,auto,FALSE,
L1F_IMG_010,EXIF.Model,SRC_IMG_01,Imaging System,EXIF Camera,Camera model name. Used alongside Make to identify the correct lens calibration entry in the CB library or ODM database.,string,,auto,FALSE,
L1F_IMG_011,EXIF.ImageWidth,SRC_IMG_01,Imaging System,EXIF Sensor,Pixel width of the image sensor output. Determines GSD together with altitude and focal length.,integer,pixels,auto,FALSE,
L1F_IMG_012,EXIF.ImageLength,SRC_IMG_01,Imaging System,EXIF Sensor,Pixel height of the image sensor output.,integer,pixels,auto,FALSE,
L1F_IMG_013,EXIF.FocalLength,SRC_IMG_01,Imaging System,EXIF Sensor,Lens focal length in mm as reported by camera firmware. Used in GSD calculation. Less precise than the calibration file value.,float,mm,auto,FALSE,
L1F_IMG_014,EXIF.SubjectDistance,SRC_IMG_01,Imaging System,EXIF Sensor,Focus distance. Indicates whether the camera was correctly focused at survey altitude (typically should be infinity).,float,metres,auto,FALSE,
L1F_IMG_015,EXIF.ISOSpeedRatings,SRC_IMG_01,Imaging System,EXIF Exposure,Sensor sensitivity setting. High ISO can introduce noise affecting image quality.,integer,ISO,auto,FALSE,
L1F_IMG_016,EXIF.ExposureTime,SRC_IMG_01,Imaging System,EXIF Exposure,"Shutter speed in seconds. Long exposures at high drone speed cause motion blur, especially at low light.",float,seconds,auto,FALSE,Feeds exposure_consistency_ratio derived field.
L1F_IMG_017,EXIF.FNumber,SRC_IMG_01,Imaging System,EXIF Exposure,Aperture f-stop. Affects depth of field and image sharpness across the survey area.,float,f-stop,auto,FALSE,
L1F_CAL_001,camera_make,SRC_IMG_02,Imaging System,Camera Identity,Camera manufacturer in the calibration file. Must match EXIF.Make for the calibration to be valid for this hardware.,string,,auto_from_library,FALSE,
L1F_CAL_002,camera_model,SRC_IMG_02,Imaging System,Camera Identity,Camera model in the calibration file. Must match EXIF.Model.,string,,auto_from_library,FALSE,
L1F_CAL_003,focal_length_mm,SRC_IMG_02,Imaging System,Camera Identity,Calibrated focal length in millimetres. More precise than the EXIF value which is rounded by camera firmware. Feeds GSD and overlap computations.,float,mm,auto_from_library,FALSE,
L1F_CAL_004,sensor_width_mm,SRC_IMG_02,Imaging System,Camera Identity,Physical sensor width. Combined with focal length and altitude to compute true GSD and image footprint.,float,mm,auto_from_library,FALSE,
L1F_CAL_005,sensor_height_mm,SRC_IMG_02,Imaging System,Camera Identity,Physical sensor height.,float,mm,auto_from_library,FALSE,
L1F_CAL_006,calibration_source,SRC_IMG_02,Imaging System,Camera Identity,"Where the calibration came from: CB_LIBRARY, ODM_DATABASE, or SELF_CALIBRATED. Determines confidence level.",string,enum(CB_LIBRARY|ODM_DATABASE|SELF_CALIBRATED),auto_from_library,FALSE,Drives calibration_source_score in both image_capture_score and CAL_CONF.
L1F_CAL_007,calibration_date,SRC_IMG_02,Imaging System,Camera Identity,Date the camera calibration was last performed or verified. Used to compute calibration_age_months.,date,ISO date,auto_from_library,FALSE,Feeds calibration_age_score in CAL_CONF.
L1F_CAL_008,principal_point_x,SRC_IMG_02,Imaging System,Lens Distortion,"Horizontal offset of the optical centre from the image centre (cx). Corrects for manufacturing imperfection where the optical centre is not perfectly centred on the sensor. Consumed by ODM, not by drone_score.",float,pixels,auto,FALSE,HANDOFF TO PROCESSING — used by ODM lens correction; no drone_score dependency.
L1F_CAL_009,principal_point_y,SRC_IMG_02,Imaging System,Lens Distortion,Vertical offset of the optical centre (cy). Consumed by ODM.,float,pixels,auto,FALSE,HANDOFF TO PROCESSING.
L1F_CAL_010,k1,SRC_IMG_02,Imaging System,Lens Distortion,Radial distortion coefficient k1. Corrects barrel or pincushion distortion. Consumed by ODM during reconstruction.,float,,auto,FALSE,"HANDOFF TO PROCESSING. Part of k1,k2,k3 radial distortion set."
L1F_CAL_011,k2,SRC_IMG_02,Imaging System,Lens Distortion,Radial distortion coefficient k2.,float,,auto,FALSE,HANDOFF TO PROCESSING.
L1F_CAL_012,k3,SRC_IMG_02,Imaging System,Lens Distortion,Radial distortion coefficient k3.,float,,auto,FALSE,HANDOFF TO PROCESSING.
L1F_CAL_013,p1,SRC_IMG_02,Imaging System,Lens Distortion,Tangential distortion coefficient p1. Corrects asymmetric distortion from lens not being perfectly parallel to sensor.,float,,auto,FALSE,HANDOFF TO PROCESSING.
L1F_CAL_014,p2,SRC_IMG_02,Imaging System,Lens Distortion,Tangential distortion coefficient p2.,float,,auto,FALSE,HANDOFF TO PROCESSING.
L1F_CAL_015,odm_format_valid,SRC_IMG_02,Imaging System,Lens Distortion,Boolean: the calibration file is in a format that ODM can directly consume without conversion.,boolean,,auto,FALSE,HANDOFF TO PROCESSING.
L1F_GNSS_001,obs_start_utc,SRC_GNSS_01,GNSS Receiver (Rover),Recording Quality,UTC timestamp when the receiver began recording. Should start before takeoff to ensure full coverage.,datetime,UTC,auto,FALSE,
L1F_GNSS_002,obs_end_utc,SRC_GNSS_01,GNSS Receiver (Rover),Recording Quality,UTC timestamp when recording stopped. Should continue after landing.,datetime,UTC,auto,FALSE,
L1F_GNSS_003,obs_duration_sec,SRC_GNSS_01,GNSS Receiver (Rover),Recording Quality,Total recording duration in seconds. Compared against flight_duration_sec to compute coverage ratio.,float,seconds,auto,FALSE,
L1F_GNSS_004,pre_buffer_sec,SRC_GNSS_01,GNSS Receiver (Rover),Recording Quality,Seconds of recording before takeoff (obs_start_utc minus flight_start_utc). PPK ambiguity resolution benefits from generous pre-flight buffer.,float,seconds,auto,FALSE,Computed by joining Rover RINEX with BIN ARM event — surfaced as source-level for convenience.
L1F_GNSS_005,post_buffer_sec,SRC_GNSS_01,GNSS Receiver (Rover),Recording Quality,Seconds of recording after landing (obs_end_utc minus flight_end_utc). Post-flight buffer aids PPK fixed-solution convergence.,float,seconds,auto,FALSE,See pre_buffer_sec note.
L1F_GNSS_006,epochs_total,SRC_GNSS_01,GNSS Receiver (Rover),Recording Quality,"Total observation epochs recorded. At 1Hz sampling, equals obs_duration_sec.",integer,count,auto,FALSE,
L1F_GNSS_007,epochs_per_second,SRC_GNSS_01,GNSS Receiver (Rover),Recording Quality,Sampling rate of the receiver. Higher rate gives better PPK temporal resolution.,float,Hz,auto,FALSE,
L1F_GNSS_008,cn0_mean_dbhz,SRC_GNSS_01,GNSS Receiver (Rover),Recording Quality,Mean carrier-to-noise ratio across all satellites and epochs in dBHz. Values above 35 dBHz indicate clean signal.,float,dBHz,auto,FALSE,
L1F_GNSS_009,cn0_min_dbhz,SRC_GNSS_01,GNSS Receiver (Rover),Recording Quality,Minimum C/N0 recorded. Persistent low values indicate signal obstruction or multipath.,float,dBHz,auto,FALSE,
L1F_GNSS_010,sat_count_mean,SRC_GNSS_01,GNSS Receiver (Rover),Recording Quality,Mean number of satellites tracked per epoch. More satellites improves PPK solution geometry.,float,count,auto,FALSE,
L1F_GNSS_011,sat_count_min,SRC_GNSS_01,GNSS Receiver (Rover),Recording Quality,Minimum satellites in any epoch. Below 4 means no valid position can be computed for that epoch.,integer,count,auto,FALSE,
L1F_GNSS_012,cycle_slip_count,SRC_GNSS_01,GNSS Receiver (Rover),Signal Integrity,Number of loss-of-lock events (LLI flags in RINEX). Cycle slips corrupt the carrier phase solution.,integer,count,auto,FALSE,
L1F_GNSS_013,dual_freq_ratio,SRC_GNSS_01,GNSS Receiver (Rover),Signal Integrity,Fraction of epochs with both L1 and L2 observations. Dual frequency enables ionospheric correction.,float,ratio 0-1,auto,FALSE,
L1F_GNSS_014,triple_freq_ratio,SRC_GNSS_01,GNSS Receiver (Rover),Signal Integrity,"Fraction of epochs with L1, L2, and L5 observations. Triple frequency further improves precision.",float,ratio 0-1,auto,FALSE,
L1F_GNSS_015,constellation_count,SRC_GNSS_01,GNSS Receiver (Rover),Signal Integrity,"Number of GNSS constellations tracked: GPS, GLONASS, Galileo, BeiDou. More constellations improves geometry and redundancy.",integer,count,auto,FALSE,
L1F_GNSS_016,gap_gt_5s_count,SRC_GNSS_01,GNSS Receiver (Rover),Signal Integrity,Number of recording gaps longer than 5 seconds. Gaps interrupt the carrier phase solution and force re-acquisition.,integer,count,auto,FALSE,
