field_id,field_name,file_id,category,meaning,acquisition_mode,is_aspirational,notes
L1F_BASE_001,marker_name,SRC_BASE_RINEX,Header Identity,Station/marker name from RINEX header. Basis for matching the base log to the correct flight.,auto,FALSE,
L1F_BASE_002,antenna_type,SRC_BASE_RINEX,Header Antenna,Antenna model from the ANT # / TYPE header record. Cross-checked against the operator-entered model.,auto,FALSE,
L1F_BASE_003,antenna_delta_h,SRC_BASE_RINEX,Header Antenna,"ARP height above marker from the ANTENNA: DELTA H/E/N record, as configured in the device. Often 0.000 if unset. Second independent height source.",auto,FALSE,
L1F_BASE_004,receiver_type,SRC_BASE_RINEX,Header Hardware,Receiver model from the REC # / TYPE / VERS header record.,auto,FALSE,
L1F_BASE_005,firmware_version,SRC_BASE_RINEX,Header Hardware,Receiver firmware/version where written to the RINEX extended header. Base-side input to the cross-document firmware check (#19). May be null if not emitted.,auto,FALSE,
L1F_BASE_006,approx_position_xyz,SRC_BASE_RINEX,Header Position,Approximate ECEF position from the header. Always an autonomous seed at Stage 1. Captured as fact only — not scored; raises BASE_AUTONOMOUS_SEED.,auto,FALSE,
L1F_BASE_007,rinex_version,SRC_BASE_RINEX,Header Format,"RINEX format version (e.g. 2.11, 3.04). Drives PPK-software compatibility (#10).",auto,FALSE,
L1F_BASE_008,constellation_set,SRC_BASE_RINEX,Header Format,Constellations present (GPS/GLONASS/Galileo/BeiDou). Base-side input to the cross-document constellation check (#16).,auto,FALSE,
L1F_BASE_009,obs_start_utc,SRC_BASE_RINEX,Header Timing,First observation epoch time (UTC).,auto,FALSE,
L1F_BASE_010,obs_end_utc,SRC_BASE_RINEX,Header Timing,Last observation epoch time (UTC). Cross-checked against Operation Log session_end_utc for truncation.,auto,FALSE,
L1F_BASE_011,dual_freq_present,SRC_BASE_RINEX,Header Format,Whether L1+L2 (or more) carrier phase is present. Single-frequency limits ambiguity resolution and worsens iono impact.,auto,FALSE,
L1F_BASE_012,epoch_interval_sec,SRC_BASE_RINEX,Body Timing,Nominal logging interval between epochs.,auto,FALSE,
L1F_BASE_013,total_epochs,SRC_BASE_RINEX,Body Timing,Count of recorded epochs.,auto,FALSE,
L1F_BASE_014,cn0_per_sat,SRC_BASE_RINEX,Body Signal,Carrier-to-noise density per satellite per epoch. Basis for signal quality and multipath variance.,auto,FALSE,
L1F_BASE_015,cycle_slip_markers,SRC_BASE_RINEX,Body Signal,Cycle-slip indications per satellite. Elevated counts indicate disturbance or obstruction.,auto,FALSE,
L1F_BASE_016,pdop_per_epoch,SRC_BASE_RINEX,Body Geometry,"Position dilution of precision over time, from satellite geometry.",auto,FALSE,
