derived_id,derived_name,kind,formula_expression,meaning,input_field_names
L2D_IMG_001,image_validity_ratio,,valid_images / total_images,Fraction of captured images that are usable. Corrupted or unreadable images reduce effective coverage.,
L2D_IMG_002,image_geotag_ratio,,geotagged_images / total_images,Fraction of images with any GPS coordinate in EXIF. Images without geotags cannot be used in photogrammetric reconstruction.,
L2D_IMG_003,image_format_is_raw,,image_format == 'DNG' or image_format == 'RAW',Boolean: images are in raw uncompressed format. DNG/RAW retains full radiometric depth.,
L2D_IMG_004,image_computed_overlap_fwd_pct,,computed from EXIF GPS positions + image footprint geometry: footprint_width = (sensor_width_mm/focal_length_mm) * actual_altitude; overlap_fwd = 1 - (along_track_distance / footprint_height),Forward overlap computed from actual image EXIF positions and footprint geometry. Independent of any GCS-computed metric.,
L2D_IMG_005,image_computed_overlap_lat_pct,,"same method as image_computed_overlap_fwd_pct, lateral (cross-track) direction",Lateral overlap computed from actual EXIF positions. Captures cases where flight lines drifted apart.,
L2D_IMG_006,camera_make_match,,EXIF.Make == calibration.camera_make,Boolean: the camera manufacturer in EXIF matches the calibration file. Mismatches mean the calibration applies to different hardware.,
L2D_IMG_007,camera_model_match,,EXIF.Model == calibration.camera_model,Boolean: the camera model in EXIF matches the calibration file.,
L2D_IMG_008,calibration_age_months,,"months_between(calibration_date, survey_date)","Age of the camera calibration in months at time of survey. Calibration parameters drift with thermal cycling, vibration, lens handling.",
L2D_IMG_009,exposure_consistency_ratio,,std_dev(EXIF.ExposureTime across all images) / mean(EXIF.ExposureTime),How stable camera exposure was throughout the flight session. High variance means radiometric inconsistency.,
L2D_GNSS_001,rinex_coverage_ratio,,obs_duration_sec / flight_duration_sec,Fraction of the flight that has RINEX coverage. Ratio > 1.0 is ideal. Below 1.0 means part of the flight has no rover observations.,
L2D_GNSS_002,dual_freq_available,,dual_freq_ratio > 0.95,Boolean: the RINEX file is predominantly dual-frequency. Enables ionospheric correction in PPK.,
L2D_GNSS_003,critical_gap_present,,any_gap_gt_60s,Boolean: any gap in RINEX recording exceeds 60 seconds. A gap this long during a short drone flight effectively breaks PPK.,
L2D_GNSS_004,rover_acquisition_time_sec,,time from first RINEX epoch to first epoch where sat_count >= 4 AND cn0_mean >= 30,How long the rover took to reach stable satellite tracking after recording began.,
L2D_GNSS_005,mean_pdop_during_flight,,mean(PDOP values) computed from satellite geometry across all RINEX epochs within the flight window,Mean Position Dilution of Precision during the actual flight window. Low PDOP means good satellite geometry.,
L2D_GNSS_006,max_pdop_during_flight,,max(PDOP values) during flight window,Worst-case satellite geometry during the flight. A spike above 6.0 during the flight is much worse than the same value while parked.,
L2D_BIN_001,flight_start_utc,,convert(ARM_event_timestamp) using GPS.GWk + GPS.GMS at the GPS message closest to ARM,"True UTC takeoff timestamp, derived from the BIN ARM event by cross-referencing the nearest GPS week + time-of-week. No external clock required.",
L2D_BIN_002,flight_end_utc,,convert(DISARM_event_timestamp) using GPS.GWk + GPS.GMS at the GPS message closest to DISARM,"True UTC landing timestamp, derived from the BIN DISARM event.",
L2D_BIN_003,abort_count,,count(MODE transitions into RTL or LAND while ARM_state is True),"Number of mid-flight mode changes into RTL or LAND, used as a proxy for mission interruptions.",
L2D_BIN_004,rtb_triggered,,any(MODE == RTL during flight window),Boolean: did the drone initiate a return-to-base mode during the flight.,
L2D_BIN_005,cam_image_count_match,,cam_record_count == total_images,Derived boolean: number of CAM shutter records in the BIN matches the number of image files on the SD card. Mismatch indicates a recording error.,
L2D_FC_001,planned_area_m2,,area(polygon(CMD NAV_WAYPOINT lat/lng)),Survey area polygon area derived from BIN CMD waypoints. Replaces the former planned_area_m2 source field.,
L2D_FC_002,planned_gsd_cm,,(sensor_width_mm * planned_altitude_m * 100) / (focal_length_mm * image_width_px),Target GSD derived from planned altitude and camera geometry. Replaces former source field.,
L2D_FC_003,actual_gsd_cm,,(sensor_width_mm * actual_altitude_mean_m * 100) / (focal_length_mm * image_width_px),Achieved GSD computed from actual mean altitude and camera geometry. Replaces former source field.,
L2D_FC_004,actual_coverage_pct,,(union_area(geotagged image footprints) / planned_area_m2) * 100,"Actual coverage percentage of planned area, computed from the union of geotagged image footprints. Replaces former source field.",
L2D_FC_005,gsd_execution_ratio,,actual_gsd_cm / planned_gsd_cm,How closely the achieved GSD matched the planned GSD. Ratio near 1.0 = good altitude control.,
L2D_FC_006,overlap_fwd_execution_ratio,,image_computed_overlap_fwd_pct / planned_overlap_fwd_pct,How closely achieved forward overlap matched planned overlap.,
L2D_FC_007,overlap_lat_execution_ratio,,image_computed_overlap_lat_pct / planned_overlap_lat_pct,How closely achieved lateral overlap matched planned overlap.,
L2D_FC_008,altitude_execution_ratio,,actual_altitude_mean_m / planned_altitude_m,How closely mean actual altitude matched planned altitude.,
L2D_FC_009,mission_completion_ratio,,waypoints_completed / planned_waypoint_count,Fraction of planned waypoints successfully visited.,
L2D_FC_010,area_coverage_ratio,,actual_coverage_pct / 100,Fraction of the planned survey area that was actually flown.,
L2D_FC_011,wind_impact_ratio,,mean_wind_speed_ms / 12.0,Mean wind speed normalised against the operational limit.,
L2D_FC_012,altitude_variance_m,,std_dev(CTUN altitude values during cruise lines),How much the drone's altitude fluctuated during the survey lines.,
