derived_id,derived_name,kind,formula_expression,meaning,input_field_names
L2D_PP_001,crs_match_project,scoring,declared_crs_per_artifact == project_required_crs for ALL artifacts,Whether declared CRS/datum matches project requirement across all artifacts. Hard-gate input.,declared_crs_per_artifact;project_required_crs
L2D_PP_002,geoid_match_project,scoring,declared_geoid_per_artifact == project_required_geoid AND consistent across artifacts,Geoid declaration matches project and is internally consistent.,declared_geoid_per_artifact;project_required_geoid
L2D_PP_003,height_mode_consistency,scoring,all artifacts declare same height_mode AND matches project_required_height_mode,Height mode internal consistency + match to project.,declared_height_mode_per_artifact;project_required_height_mode
L2D_PP_004,projection_match_location,scoring,declared_projection consistent with survey site bounding box (zone correct),Projection sanity check against site coordinates. Hard-gate input.,declared_projection;reconstruction_extent_polygon
L2D_PP_005,output_crs_metadata_present,scoring,each output artifact has CRS metadata AND matches declared_crs_per_artifact,Direct artifact evidence — CRS metadata in EXIF/coord-file headers.,crs_in_exif;crs_in_coord_file_header;declared_crs_per_artifact
L2D_PP_006,units_match_project,scoring,declared_units == project_required_units AND consistent,Units consistency + match to project.,declared_units_per_artifact;project_required_units
L2D_PP_007,customer_coord_crs_consistent,scoring,when CUSTOMER_SUPPLIED path: customer_supplied_coord_crs declared AND matches project,Applies only on customer-supplied path; N/A otherwise.,customer_supplied_coord_crs;project_required_crs;declared_path_gcp
L2D_PP_008,localization_disclosed,scoring,"localization_applied_declared IS NOT NULL (operator addressed it, regardless of True/False)",Fires flag on undisclosed only — not on declared-localized.,localization_applied_declared
L2D_PP_009,provenance_realization_consistent,scoring,realization_epoch_per_artifact all match,All control sources use same ITRF realization and epoch.,realization_epoch_per_artifact
L2D_PP_010,drone_session_within_base_window,scoring,(drone_session_start_utc >= base_session_start_utc) AND (drone_session_end_utc <= base_session_end_utc) AND base_file_id matches expected,PPK base-pairing check.,drone_session_start_utc;drone_session_end_utc;base_session_start_utc;base_session_end_utc;base_file_id
L2D_PP_011,fraction_geotags_fixed,scoring,(count where per_geotag_fix_status=FIXED) / geotag_count,Fraction of images with FIXED solution. Per-image aggregation.,per_geotag_fix_status;geotag_count
L2D_PP_012,geotag_completeness_fraction,scoring,geotag_count / captured_image_count,Fraction of captured images that received geotags.,geotag_count;captured_image_count
L2D_PP_013,session_overlap_fraction,scoring,"(min(drone_end, base_end) - max(drone_start, base_start)) / (drone_end - drone_start)",Fraction of drone flight covered by base/CORS recording.,drone_session_start_utc;drone_session_end_utc;base_session_start_utc;base_session_end_utc
L2D_PP_014,antenna_pco_match,scoring,declared_antenna_per_artifact (manifest) == antenna actually used (from device export when available),Antenna PCO declaration vs actual.,declared_antenna_per_artifact
L2D_PP_015,sensor_metadata_consistent,scoring,camera_serial (EXIF) == camera declared in manifest == camera in flight log,Cross-artifact sensor consistency.,camera_serial
L2D_PP_016,cors_data_continuity,scoring,cors_epoch_coverage_during_flight from processing report (when uploaded),CORS continuity during flight window — report-dependent.,cors_epoch_coverage_during_flight
L2D_PP_017,time_sync_residual_magnitude,scoring,statistics from time_sync_residuals (report-dependent),Time-sync drift magnitude.,time_sync_residuals
L2D_PP_018,overlap_texture_proxy,scoring,"min(planned_forward_overlap, planned_side_overlap) AND optional tiepoint_density",Overlap from manifest; tie-point density when report present.,planned_forward_overlap;planned_side_overlap;tiepoint_density
L2D_PP_019,flight_conditions_adverse,scoring,"flight_conditions_declared in {hazy, monsoon, thermal-prone}",Declared adverse conditions — cross-handoff to drone chain.,flight_conditions_declared
L2D_PP_020,gcp_sigma_relative_to_target,scoring,"per_gcp_sigma_h / accuracy_target_m, per-GCP",Per-GCP σ as multiple of survey accuracy target. Primary trust indicator. Aggregated via mean − 0.25 × (100 − min).,per_gcp_sigma_h;accuracy_target_m
L2D_PP_021,cp_sigma_relative_to_target,scoring,"per_cp_sigma_h / accuracy_target_m, per-CP",Per-CP σ as multiple of accuracy target. Feeds verification_status.,per_cp_sigma_h;accuracy_target_m
L2D_PP_022,gcp_path_acceptable,scoring,declared_path_gcp != AUTONOMOUS,AUTONOMOUS path → catastrophic gate.,declared_path_gcp
L2D_PP_023,gcp_customer_accuracy_adequate,scoring,when CUSTOMER_SUPPLIED: customer_accuracy_claim present AND meets accuracy_target_m,Customer-supplied accuracy adequacy. Reviewer-blocking when absent.,customer_accuracy_claim;accuracy_target_m;declared_path_gcp
L2D_PP_024,gcp_id_reconciliation,scoring,gcp_ids in coord file match gcp_ids in form/manifest,Cross-artifact ID consistency.,gcp_id
L2D_PP_025,gcp_coord_age_days,scoring,"(flight_date - gcp_coord_determination_date) in days, when CUSTOMER_SUPPLIED",Staleness of customer-supplied GCP coords.,gcp_coord_determination_date;flight_date;declared_path_gcp
L2D_PP_026,coord_parse_bbox_sanity,scoring,parsed gcp_position falls within reconstruction_extent_polygon (with reasonable margin),Bounding-box sanity check catches axis-swap / unit-misparse.,gcp_position;reconstruction_extent_polygon
L2D_PP_027,gcp_residuals_within_tolerance,scoring,all per_gcp_residuals within tolerance (report-dependent),GCP residual outlier detection — report-dependent.,per_gcp_residuals
L2D_PP_028,cors_station_health_acceptable,scoring,cors_quality_metrics (report-dependent),CORS station health during observation window.,cors_quality_metrics
L2D_PP_029,gcp_count_adequate,scoring,gcp_count vs reconstruction_extent_m2 ratio (industry guidance),GCP count sufficiency.,gcp_id;reconstruction_extent_m2
L2D_PP_030,gcp_distribution_coverage,scoring,fraction of reconstruction_extent_polygon covered by GCP convex hull / grid,Spatial coverage of GCPs vs reconstruction extent.,gcp_position;reconstruction_extent_polygon
L2D_PP_031,target_pixels_at_gsd,scoring,target_size_cm / planned_gsd_cm,Target pixel size for ODM detection.,target_size_cm;planned_gsd_cm
L2D_PP_032,vegetation_dtm_risk,scoring,site_cover_declared=vegetated AND dtm_in_deliverables=True,DTM-on-vegetation risk.,site_cover_declared;dtm_in_deliverables
L2D_PP_033,settings_declared_vs_actual_consistent,scoring,when processing report uploaded: report_actual_settings match manifest declarations,Approach 2: validates manifest-declared settings against processing-report-actual settings. Report-dependent.,report_actual_settings;declared_geoid_per_artifact;declared_crs_per_artifact;declared_height_mode_per_artifact;declared_antenna_per_artifact
L2D_PP_034,software_version_in_buggy_list,scoring,declared_software_version_per_artifact in CBMI known-buggy-versions list (v2),"v1: advisory only, zero scoring weight. v2: real scoring when list maintained.",declared_software_per_artifact;declared_software_version_per_artifact
L2D_PP_035,cp_designated_count,scoring,count of CP records in CP Coord File,CP count for verification_status determination.,cp_id
L2D_PP_036,cp_distribution_coverage,scoring,fraction of reconstruction_extent_polygon covered by CP convex hull,CP spatial coverage for verification_status.,cp_position;reconstruction_extent_polygon
L2D_PP_037,cp_gcp_spatial_independence,scoring,min pairwise distance from any CP to any GCP,CP-GCP spatial independence for verification_status.,cp_position;gcp_position
