field_id,field_name,file_id,category,meaning,acquisition_mode,is_aspirational,notes
L1F_IMG_001,total_images,SRC_IMG_01,Image Inventory,Total number of image files found on the SD card for this flight. Counted automatically by the ingestion script.,auto,False,
L1F_IMG_002,valid_images,SRC_IMG_01,Image Inventory,Images that open and parse without errors or file corruption. Corrupted files are excluded from downstream processing.,auto,False,
L1F_IMG_003,geotagged_images,SRC_IMG_01,Image Inventory,Images with GPS coordinates present in EXIF. Even approximate coordinates from the onboard GNSS chip count.,auto,False,
L1F_IMG_004,image_format,SRC_IMG_01,Image Inventory,"File format of the images: JPG (compressed, smaller) or DNG/RAW (full sensor data, larger).",auto,False,
L1F_IMG_005,EXIF.GPSLatitude,SRC_IMG_01,EXIF Position,Latitude at time of capture from onboard GNSS chip. Approximate (2–5m) in PPK workflow.,auto,False,"PPK workflow: approximate position, corrected in Stage 2."
L1F_IMG_006,EXIF.GPSLongitude,SRC_IMG_01,EXIF Position,Longitude at time of capture from onboard GNSS chip.,auto,False,
L1F_IMG_007,EXIF.GPSAltitude,SRC_IMG_01,EXIF Position,Altitude above sea level at capture from onboard GNSS chip.,auto,False,
L1F_IMG_008,EXIF.GPSTimeStamp,SRC_IMG_01,EXIF Position,UTC time of capture. Written by camera firmware from GNSS time signal. Used to sync each image with the BIN CAM record / RINEX epoch.,auto,False,Used for image-to-RINEX-epoch matching when CAM records or MRK are absent.
L1F_IMG_009,EXIF.Make,SRC_IMG_01,EXIF Camera,Camera manufacturer name. Written by camera firmware. Used to match against the calibration file Make.,auto,False,
L1F_IMG_010,EXIF.Model,SRC_IMG_01,EXIF Camera,Camera model name. Used alongside Make to identify the correct lens calibration entry in the CB library or ODM database.,auto,False,
L1F_IMG_011,EXIF.ImageWidth,SRC_IMG_01,EXIF Sensor,Pixel width of the image sensor output. Determines GSD together with altitude and focal length.,auto,False,
L1F_IMG_012,EXIF.ImageLength,SRC_IMG_01,EXIF Sensor,Pixel height of the image sensor output.,auto,False,
L1F_IMG_013,EXIF.FocalLength,SRC_IMG_01,EXIF Sensor,Lens focal length in mm as reported by camera firmware. Used in GSD calculation. Less precise than the calibration file value.,auto,False,
L1F_IMG_014,EXIF.SubjectDistance,SRC_IMG_01,EXIF Sensor,Focus distance. Indicates whether the camera was correctly focused at survey altitude (typically should be infinity).,auto,False,
L1F_IMG_015,EXIF.ISOSpeedRatings,SRC_IMG_01,EXIF Exposure,Sensor sensitivity setting. High ISO can introduce noise affecting image quality.,auto,False,
L1F_IMG_016,EXIF.ExposureTime,SRC_IMG_01,EXIF Exposure,"Shutter speed in seconds. Long exposures at high drone speed cause motion blur, especially at low light.",auto,False,Feeds exposure_consistency_ratio derived field.
L1F_IMG_017,EXIF.FNumber,SRC_IMG_01,EXIF Exposure,Aperture f-stop. Affects depth of field and image sharpness across the survey area.,auto,False,
L1F_CAL_001,camera_make,SRC_IMG_02,Camera Identity,Camera manufacturer in the calibration file. Must match EXIF.Make for the calibration to be valid for this hardware.,auto_from_library,False,
L1F_CAL_002,camera_model,SRC_IMG_02,Camera Identity,Camera model in the calibration file. Must match EXIF.Model.,auto_from_library,False,
L1F_CAL_003,focal_length_mm,SRC_IMG_02,Camera Identity,Calibrated focal length in millimetres. More precise than the EXIF value which is rounded by camera firmware. Feeds GSD and overlap computations.,auto_from_library,False,
L1F_CAL_004,sensor_width_mm,SRC_IMG_02,Camera Identity,Physical sensor width. Combined with focal length and altitude to compute true GSD and image footprint.,auto_from_library,False,
L1F_CAL_005,sensor_height_mm,SRC_IMG_02,Camera Identity,Physical sensor height.,auto_from_library,False,
L1F_CAL_006,calibration_source,SRC_IMG_02,Camera Identity,"Where the calibration came from: CB_LIBRARY, ODM_DATABASE, or SELF_CALIBRATED. Determines confidence level.",auto_from_library,False,Drives calibration_source_score in both image_capture_score and CAL_CONF.
L1F_CAL_007,calibration_date,SRC_IMG_02,Camera Identity,Date the camera calibration was last performed or verified. Used to compute calibration_age_months.,auto_from_library,False,Feeds calibration_age_score in CAL_CONF.
L1F_CAL_008,principal_point_x,SRC_IMG_02,Lens Distortion,"Horizontal offset of the optical centre from the image centre (cx). Corrects for manufacturing imperfection where the optical centre is not perfectly centred on the sensor. Consumed by ODM, not by drone_score.",auto,False,HANDOFF TO PROCESSING — used by ODM lens correction; no drone_score dependency.
L1F_CAL_009,principal_point_y,SRC_IMG_02,Lens Distortion,Vertical offset of the optical centre (cy). Consumed by ODM.,auto,False,HANDOFF TO PROCESSING.
L1F_CAL_010,k1,SRC_IMG_02,Lens Distortion,Radial distortion coefficient k1. Corrects barrel or pincushion distortion. Consumed by ODM during reconstruction.,auto,False,"HANDOFF TO PROCESSING. Part of k1,k2,k3 radial distortion set."
L1F_CAL_011,k2,SRC_IMG_02,Lens Distortion,Radial distortion coefficient k2.,auto,False,HANDOFF TO PROCESSING.
L1F_CAL_012,k3,SRC_IMG_02,Lens Distortion,Radial distortion coefficient k3.,auto,False,HANDOFF TO PROCESSING.
L1F_CAL_013,p1,SRC_IMG_02,Lens Distortion,Tangential distortion coefficient p1. Corrects asymmetric distortion from lens not being perfectly parallel to sensor.,auto,False,HANDOFF TO PROCESSING.
