indicator_id,indicator_name,display_name,building_block_id,weight_in_block,covers_problems,input_derived_fields,has_internal_gate,gate_condition,gate_action,justification,threshold_summary
L3I_GCP_001,occupation_coverage_score,Per-point Flight Coverage & Buffer,BB_GCP_COMPLETE,0.35,#8,occupation_coverage_ratio;pre_flight_buffer_sec;post_flight_buffer_sec,TRUE,occupation_coverage_ratio < 1.0,Sets this point completeness sub-score = 0. FLAG: GCP_POINT_FLIGHT_GAP.,SHEET,coverage_ratio=1.0 AND pre>=120s AND post>=60s -> 100; coverage=1.0 AND pre>=60s -> 88; coverage=1.0 AND pre<60s -> 72; coverage<1.0 -> 0 + gate.
L3I_GCP_002,occupation_integrity_score,Per-point Session & Power Integrity,BB_GCP_COMPLETE,0.3,#8,session_integrity_ok;raw_log_download_confirmed;device_type,FALSE,,,SHEET+OPLOG,"device_type=DGPS: completed_normally AND 0 shutdowns AND battery_min>=20% -> 100; shutdown>=1 -> 30; oplog absent/null -> 60 (unconfirmed); download not confirmed -> advisory flag.  device_type in {CB_X, AEROPOINT, OTHER}: oplog expected-absent, no penalty for absence; score based on RINEX signals (any_gap_gt_60s=False -> 100; else 40)."
L3I_GCP_003,occupation_format_score,Per-point RINEX Format & Compatibility,BB_GCP_COMPLETE,0.2,#10,rinex_version_supported;header_completeness;dual_freq_available;constellation_count,FALSE,,,SHEET,version supported AND header complete AND dual-freq -> 100; single-freq -> 70; version unsupported -> 35 (FLAG: GCP_POINT_RINEX_VERSION_UNSUPPORTED); header incomplete -> 40.
L3I_GCP_004,occupation_continuity_score,Per-point Recording Continuity,BB_GCP_COMPLETE,0.15,#15,cycle_slip_count;gap_gt_5s_count;any_gap_gt_60s,FALSE,,,RINEX,no gaps AND <5 slips -> 100; minor gaps OR 5-20 slips -> 75; any_gap_gt_60s OR >20 slips -> 40. Feeds disturbance composite.
L3I_GCP_005,gcp_antenna_height_documented_score,Per-point Antenna Height Documentation,BB_GCP_SETUP,0.55,#6,antenna_height_auto_known;antenna_measurement_type;measured_to_reference;height_measured_count;antenna_height_agreement,TRUE,antenna_height_m absent AND antenna_height_auto_known=False,Sets this point setup sub-score = 0. FLAG: GCP_POINT_ANTENNA_HEIGHT_MISSING.,SHEET,antenna_height_auto_known=True (CB_X / AEROPOINT) -> 100 by definition (factory-known).  device_type=DGPS: VERTICAL AND measured_to=ARP AND count>=3 AND RINEX agreement -> 100; single VERTICAL -> 88; SLANT -> 72; height entered but RINEX delta_h disagrees -> 55 (review).  No height entered (DGPS / OTHER) -> 0 + gate.
L3I_GCP_006,gcp_device_id_match_score,Per-point Device ID Match,BB_GCP_SETUP,0.3,#14,device_id_match,FALSE,,,SHEET (gap-add),"Match -> 100; mismatch -> 50 + FLAG: GCP_POINT_DEVICE_ID_MISMATCH (HIGH, reviewer-blocking); either side missing -> 60 (unconfirmed)."
L3I_GCP_007,gcp_antenna_type_match_score,Per-point Antenna Type Consistency,BB_GCP_SETUP,0.15,#6 supporting,antenna_type_match,FALSE,,,RINEX,"Match -> 100; mismatch -> 40 + FLAG. Type-string consistency only, NOT a true ANTEX calibration check (that is Stage 2)."
L3I_GCP_008,gcp_multipath_score,Per-point Multipath Environment,BB_GCP_ENV,0.5,#9,multipath_risk_level;cn0_mean_dbhz,FALSE,,,SHEET,"multipath_risk_level low (<=2.5 dB-Hz) -> 100; moderate (2.5-4.0) -> 65; high (>4.0) -> 35 + FLAG: GCP_POINT_HIGH_MULTIPATH. Risk proxy, not error magnitude."
L3I_GCP_009,gcp_acquisition_score,Per-point Satellite Acquisition,BB_GCP_ENV,0.3,#18,device_acquisition_time_sec,FALSE,,,SHEET,acquisition <60s -> 100; 60-119s -> 88; 120-299s -> 65; >=300s -> 30 + FLAG: GCP_POINT_SLOW_ACQUISITION.
L3I_GCP_010,gcp_ionospheric_risk_score,Per-point Ionospheric Risk,BB_GCP_ENV,0.2,#20,kp_index;dual_freq_available,FALSE,,,SHEET,Kp <= 4 OR dual-freq available -> 100; Kp 5-6 AND single-freq -> 60; Kp >= 7 AND single-freq -> 40 + FLAG: GCP_POINT_IONO_RISK. External NOAA SWPC dependency.
