derived_id,derived_name,kind,formula_expression,meaning,input_field_names
L2D_PROC_001,ba_reprojection_relative,scoring,reportSurveyData_reprojection_error_pix banded against thresholds (1.5/2.5/3.5),Reprojection error scoring threshold computation.,reportSurveyData_reprojection_error_pix
L2D_PROC_002,camera_alignment_fraction,scoring,reportSurveyData_camera_stations / reportSurveyData_n_images,Fraction of cameras that aligned.,reportSurveyData_camera_stations;reportSurveyData_n_images
L2D_PROC_003,camera_position_relative_to_gsd,scoring,reportCameraLocations_total_err_cm / reportSurveyData_ground_resolution_cm,Camera position error as ratio of GSD — scale-independent quality measure.,reportCameraLocations_total_err_cm;reportSurveyData_ground_resolution_cm
L2D_PROC_004,optimization_params_completeness,scoring,"check reportParams_optimization_parameters contains {f, b1, b2, cx, cy, k1, k2, k3, p1, p2}",How complete is the BA optimization parameter set?,reportParams_optimization_parameters
L2D_PROC_005,precalibration_loaded_match,scoring,manifest_precalibration_expected vs reportCameras_precalibrated comparison,Did precalibration expectation match actual loading?,manifest_precalibration_expected;reportCameras_precalibrated
L2D_PROC_006,camera_model_match,scoring,manifest_declared_camera_model vs reportCameras_camera_model exact-string match,Camera model consistency between declaration and report.,manifest_declared_camera_model;reportCameras_camera_model
L2D_PROC_007,self_calibration_compound_condition,scoring,IF reportCameras_precalibrated=No AND abs(reportCalibration_k1_k2_correlation) > 0.95 AND (reportSurveyData_reprojection_error_pix > 2 OR reportGCP_check_rmse_total_cm > 2*manifest_accuracy_target_m * 100) THEN flag,Compound condition: ill-conditioned self-calibration only flagged when co-occurring with degraded reprojection or CP residuals (per v0.2 reviewer fix).,reportCameras_precalibrated;reportCalibration_k1_k2_correlation;reportSurveyData_reprojection_error_pix;reportGCP_check_rmse_total_cm;manifest_accuracy_target_m
L2D_PROC_008,max_reproj_to_rms_ratio,scoring,reportParams_max_reprojection_error_pix / reportParams_rms_reprojection_error_pix,Ratio of max to RMS reprojection error — outlier detection.,reportParams_max_reprojection_error_pix;reportParams_rms_reprojection_error_pix
L2D_PROC_009,alignment_accuracy_setting_class,scoring,"reportParams_alignment_accuracy mapped to {High, Medium, Low} classes",Class membership of alignment accuracy setting.,reportParams_alignment_accuracy
L2D_PROC_010,depth_quality_setting_class,scoring,"reportParams_depth_quality mapped to {High, Medium, Low} classes",Class membership of depth map quality setting.,reportParams_depth_quality
L2D_PROC_011,tiepoint_density_per_km2,scoring,reportSurveyData_tie_points / reportSurveyData_coverage_area_km2,Tie point density.,reportSurveyData_tie_points;reportSurveyData_coverage_area_km2
L2D_PROC_012,tiepoint_multiplicity_value,scoring,reportParams_avg_tie_point_multiplicity,Direct read; threshold-banded.,reportParams_avg_tie_point_multiplicity
L2D_PROC_013,filtering_mode_site_match,scoring,reportParams_depth_filtering_mode vs manifest_declared_site_cover appropriateness lookup,Filtering mode appropriateness for declared site type.,reportParams_depth_filtering_mode;manifest_declared_site_cover
L2D_PROC_014,marker_image_count_per_marker,scoring,reportGCP_per_marker_image_count — per-marker count of images marker appears in,For per-marker triangulation strength scoring.,reportGCP_per_marker_image_count
L2D_PROC_015,localized_reconstruction_v1_proxy,scoring,v1: IF tiepoint_density_per_km2 < 1M OR DEM has visible voids in reportDEM_void_statistics THEN partial-flag. v2: full density-map parse.,V1 partial detection via global proxies; full detection deferred to v2 visual analysis.,tiepoint_density_per_km2;reportDEM_void_statistics
L2D_PROC_016,atmospheric_artifact_composite,scoring,IF reprojection > 2 AND tie_density < 1M/km² AND camera_pos_xy > 15 cm THEN flag,Composite advisory cross-handoff to drone chain.,reportSurveyData_reprojection_error_pix;tiepoint_density_per_km2;reportCameraLocations_xy_err_cm
